time,roll_force_duo,roll_force_f1,roll_force_f2,roll_force_f3,roll_force_f4,roll_torque_duo,roll_torque_f1,roll_torque_f2,roll_torque_f3,roll_torque_f4,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8
2022-10-20T13:51:02.462000,0.9796115000000001,12.7263,12.5401,19.8236,15.1662,0.618488,0.00920582,0.0131509,-0.00920582,0.0113933,669.909,670.0,670.0,600.0,669.909,600.0,670.091,600.087
2022-10-20T13:51:02.464000,1.2335215999999998,12.763,12.5688,19.8508,15.1662,0.585938,0.00964403,0.0122743,-0.00964403,0.0136719,670.091,670.182,670.0,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:51:02.466000,1.1422765000000001,12.7263,12.5976,19.8779,15.1662,0.61198,0.00526047,0.0122743,-0.00964403,0.0130208,670.0,670.273,669.909,600.0,670.0,600.087,670.091,600.0
2022-10-20T13:51:02.468000,0.9796115000000001,12.763,12.5688,19.8508,15.1893,0.566406,0.0078907,0.0131509,-0.0100825,0.0123699,670.0,670.0,670.091,600.087,670.0,600.0,670.091,600.0
2022-10-20T13:51:02.470000,1.3770148999999998,12.7263,12.5688,19.8779,15.1662,0.579426,0.0078907,0.0135894,-0.00964403,0.0107422,670.0,670.091,670.091,600.0,669.909,600.0,670.0,600.0
2022-10-20T13:51:02.472000,1.36334,12.7263,12.5688,19.8508,15.12,0.598957,0.00920582,0.0118361,-0.00964403,0.014323,670.091,670.0,670.0,599.913,669.909,600.0,670.091,600.0
2022-10-20T13:51:02.474000,0.8360569999999999,12.7997,12.5113,19.7965,15.1893,0.585938,0.00745225,0.015343,-0.00964403,0.0123699,670.0,670.091,669.909,600.0,670.091,600.087,670.0,600.0
2022-10-20T13:51:02.476000,0.8349656,12.763,12.5688,19.7965,15.2124,0.592449,0.00920582,0.0140278,-0.00876737,0.0117188,670.0,670.091,670.091,600.174,669.909,600.0,670.0,600.0
2022-10-20T13:51:02.478000,0.9904225000000002,12.763,12.5688,19.8236,15.12,0.572918,0.00745225,0.0122743,-0.00964403,0.0123699,670.0,670.091,670.0,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:51:02.480000,0.9121704,12.7263,12.5688,19.8236,15.1662,0.625,0.0105209,0.0127127,-0.00920582,0.0113933,670.0,670.0,670.0,599.913,669.909,600.087,670.091,600.0
2022-10-20T13:51:02.482000,1.996642,12.763,12.6263,19.9051,15.2356,0.598957,0.00876737,0.0157812,-0.00920582,0.0117188,670.091,670.091,670.091,600.087,670.091,600.0,670.0,600.0
