time,roll_force_duo,roll_force_f1,roll_force_f2,roll_force_f3,roll_force_f4,roll_torque_duo,roll_torque_f1,roll_torque_f2,roll_torque_f3,roll_torque_f4,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8
2022-10-20T13:04:44.706000,0.8904983,-5.94141,-6.35631,-4.20912,-2.1732,0.61198,0.00876737,0.0157812,-0.0157812,0.0139973,670.091,670.091,670.0,600.0,670.0,600.0,669.909,600.0
2022-10-20T13:04:44.708000,0.569885,-6.01477,-6.27002,-4.23628,-2.24257,0.651043,0.00964403,0.0170963,-0.014466,0.0117188,670.091,670.091,670.0,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.710000,0.9016069999999998,-5.97809,-6.32755,-4.23628,-2.26569,0.618488,0.00920582,0.0122743,-0.0131509,0.0130208,670.0,670.0,670.0,600.0,670.0,599.913,670.0,600.0
2022-10-20T13:04:44.712000,0.48046799999999995,-6.01477,-6.41383,-4.23628,-2.19632,0.618488,0.00964403,0.0166581,-0.0175347,0.0126953,670.091,670.0,670.0,600.0,669.909,600.0,670.182,600.087
2022-10-20T13:04:44.714000,0.5788525999999998,-6.05142,-6.32755,-4.23628,-2.19632,0.592449,0.0100825,0.0122743,-0.0170963,0.0146484,670.0,670.0,670.0,600.0,670.0,600.0,670.182,600.087
2022-10-20T13:04:44.716000,0.6420290000000001,-6.0881,-6.32755,-4.20912,-2.21945,0.618488,0.0100825,0.0157812,-0.0162196,0.0133464,669.909,670.0,670.0,600.0,670.0,600.087,670.091,600.087
2022-10-20T13:04:44.718000,0.40722659999999994,-6.05142,-6.41383,-4.26344,-2.1732,0.592449,0.0078907,0.0166581,-0.015343,0.0133464,670.0,670.0,670.091,600.0,669.909,600.087,670.182,600.0
2022-10-20T13:04:44.720000,0.6502634999999999,-5.97809,-6.35631,-4.23628,-2.19632,0.631512,0.00832891,0.00964403,-0.0162196,0.0130208,670.0,670.091,670.0,600.0,670.091,600.087,670.091,599.913
2022-10-20T13:04:44.722000,0.5507816999999999,-6.01477,-6.35631,-4.23628,-2.19632,0.605469,0.00964403,0.0131509,-0.015343,0.0136719,670.0,670.091,670.0,600.0,670.0,600.087,669.909,599.913
2022-10-20T13:04:44.724000,0.4732661,-5.94141,-6.35631,-4.23628,-2.19632,0.598957,0.00964403,0.0127127,-0.0162196,0.0123699,670.091,670.0,670.0,600.0,669.909,600.0,670.365,600.087
2022-10-20T13:04:44.726000,0.80572,-5.97809,-6.32755,-4.23628,-2.1732,0.618488,0.00964403,0.015343,-0.0162196,0.0126953,670.0,670.0,670.0,600.0,669.909,600.087,670.091,600.087
2022-10-20T13:04:44.728000,0.569885,-5.97809,-6.35631,-4.20912,-2.21945,0.618488,0.00876737,0.0149045,-0.0157812,0.0130208,670.0,670.0,670.0,600.0,669.909,600.087,670.091,600.174
2022-10-20T13:04:44.730000,0.5651854999999999,-6.01477,-6.32755,-4.26344,-2.21945,0.651043,0.00876737,0.0175347,-0.015343,0.0130208,670.0,670.0,670.0,600.0,669.909,600.087,670.091,600.087
2022-10-20T13:04:44.732000,0.7271110000000001,-5.94141,-6.32755,-4.26344,-2.21945,0.592449,0.00876737,0.0140278,-0.0162196,0.0126953,670.0,670.091,670.0,600.0,669.909,600.087,670.091,599.913
2022-10-20T13:04:44.734000,0.419129,-6.01477,-6.27002,-4.20912,-2.21945,0.61198,0.00832891,0.0166581,-0.0157812,0.0120442,670.0,670.091,670.0,600.0,670.0,600.087,670.091,599.913
2022-10-20T13:04:44.736000,0.7271110000000001,-5.97809,-6.35631,-4.23628,-2.21945,0.625,0.0100825,0.015343,-0.0157812,0.0130208,670.182,670.182,670.0,600.0,669.909,600.0,670.0,599.913
2022-10-20T13:04:44.738000,0.7938185999999999,-5.94141,-6.35631,-4.26344,-2.19632,0.61198,0.00876737,0.0131509,-0.0170963,0.0126953,670.182,670.091,670.0,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.740000,0.7271110000000001,-6.05142,-6.32755,-4.20912,-2.19632,0.63802,0.00920582,0.015343,-0.0149045,0.0123699,670.182,670.091,670.0,600.0,670.0,600.087,670.091,600.174
2022-10-20T13:04:44.742000,0.3827521,-6.01477,-6.35631,-4.18198,-2.19632,0.592449,0.00964403,0.0131509,-0.0170963,0.0130208,670.091,670.0,669.909,600.0,670.0,600.087,670.091,600.087
2022-10-20T13:04:44.744000,0.40832499999999994,-5.94141,-6.38507,-4.20912,-2.12697,0.63802,0.0078907,0.0135894,-0.0162196,0.0133464,670.0,669.909,670.0,600.0,669.909,600.0,670.091,600.087
2022-10-20T13:04:44.746000,0.7026361000000001,-6.01477,-6.35631,-4.18198,-2.21945,0.618488,0.0118361,0.0149045,-0.015343,0.0126953,669.909,670.0,670.091,600.087,669.909,600.087,670.091,600.0
2022-10-20T13:04:44.748000,0.323242,-5.94141,-6.38507,-4.18198,-2.1732,0.585938,0.0100825,0.015343,-0.0162196,0.0130208,670.0,670.091,670.091,600.0,669.909,600.087,670.091,600.0
2022-10-20T13:04:44.750000,0.7278439000000001,-6.05142,-6.35631,-4.2906,-2.19632,0.670574,0.00876737,0.0135894,-0.015343,0.0130208,670.091,670.182,670.0,599.913,669.909,600.087,670.0,600.087
2022-10-20T13:04:44.752000,0.576355,-6.01477,-6.35631,-4.23628,-2.21945,0.651043,0.0100825,0.0162196,-0.0166581,0.0130208,670.091,670.182,670.0,600.0,669.909,600.0,670.0,600.087
2022-10-20T13:04:44.754000,0.3350835999999999,-5.94141,-6.35631,-4.23628,-2.21945,0.618488,0.00876737,0.0166581,-0.0162196,0.0123699,670.0,670.091,670.0,600.0,670.0,600.087,670.091,600.0
2022-10-20T13:04:44.756000,0.5842890000000001,-6.01477,-6.35631,-4.23628,-2.1732,0.566406,0.0100825,0.015343,-0.0162196,0.0136719,670.0,669.818,669.909,600.0,670.0,600.0,670.0,600.087
2022-10-20T13:04:44.758000,0.238098,-6.05142,-6.32755,-4.23628,-2.19632,0.625,0.0105209,0.0135894,-0.0157812,0.0133464,670.0,670.0,670.0,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.760000,0.3178100000000001,-6.01477,-6.35631,-4.18198,-2.1732,0.585938,0.00920582,0.0157812,-0.0157812,0.0130208,670.091,670.091,670.091,600.087,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.762000,0.4858396,-6.01477,-6.35631,-4.20912,-2.15009,0.631512,0.00964403,0.0127127,-0.0157812,0.014323,670.0,670.091,670.091,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.764000,0.47753910000000005,-6.01477,-6.32755,-4.23628,-2.1732,0.592449,0.00920582,0.0122743,-0.0157812,0.0130208,670.0,670.091,670.091,599.913,669.818,600.0,670.091,600.0
