index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-06 14:56:45.110,2022-10-06 14:56:45.470,2022-10-06 14:56:45.290,149.19226,5.49351,,
R2,2022-10-06 14:56:57.240,2022-10-06 14:56:57.740,2022-10-06 14:56:57.490,130.24822,5.8424499999999995,1190.386,
R3,2022-10-06 14:57:04.340,2022-10-06 14:57:04.740,2022-10-06 14:57:04.540,205.73958000000002,6.2682199999999995,1149.9180000000001,
R4,2022-10-06 14:57:11.200,2022-10-06 14:57:11.690,2022-10-06 14:57:11.445,102.88713999999999,4.6539705,1149.336,
R5,2022-10-06 14:57:18.050,2022-10-06 14:57:18.680,2022-10-06 14:57:18.365,162.60329,3.9365235,1087.156,
R6,2022-10-06 14:57:26.050,2022-10-06 14:57:26.900,2022-10-06 14:57:26.475,68.4087,2.976236,1079.392,
R7,2022-10-06 14:57:30.990,2022-10-06 14:57:32.150,2022-10-06 14:57:31.570,178.48161999999996,3.6692720000000003,1025.1219999999998,
R8,2022-10-06 14:57:39.380,2022-10-06 14:57:40.900,2022-10-06 14:57:40.140,62.44413999999999,2.6907550000000002,1009.808,
R9,2022-10-06 14:57:45.840,2022-10-06 14:57:47.700,2022-10-06 14:57:46.770,98.32078,1.6744790000000003,,
R10,2022-10-06 14:57:56.010,2022-10-06 14:57:58.260,2022-10-06 14:57:57.135,51.721126999999996,1.8808589999999998,919.9220000000001,
F1,2022-10-06 14:58:13.330,2022-10-06 14:58:13.740,2022-10-06 14:58:13.535,100.23379,0.6398854999999999,,
F2,2022-10-06 14:58:13.450,2022-10-06 14:58:13.840,2022-10-06 14:58:13.645,94.03596999999999,0.727449,,
F3,2022-10-06 14:58:13.550,2022-10-06 14:58:13.950,2022-10-06 14:58:13.750,103.8868,0.8755520000000001,884.7760000000001,852.6562
F4,2022-10-06 14:58:13.640,2022-10-06 14:58:14.020,2022-10-06 14:58:13.830,79.00298000000001,0.573275,898.7152,880.1276
