index,start,end,mid,roll_force,roll_torque,out_temperature
R1,2022-10-20 13:04:05.300,2022-10-20 13:04:05.730,2022-10-20 13:04:05.515,299.30746999999997,21.71159,1170.884
R2,2022-10-20 13:04:11.680,2022-10-20 13:04:12.210,2022-10-20 13:04:11.945,193.91854,15.625,1146.366
R3,2022-10-20 13:04:16.380,2022-10-20 13:04:16.750,2022-10-20 13:04:16.565,367.94615,21.13868,1143.3020000000001
R4,2022-10-20 13:04:21.870,2022-10-20 13:04:22.350,2022-10-20 13:04:22.110,184.37542000000002,15.49218,1164.414
