index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-20 14:15:21.770,2022-10-20 14:15:22.450,2022-10-20 14:15:22.110,249.60706,11.66018,1120.72,
R2,2022-10-20 14:15:26.930,2022-10-20 14:15:27.810,2022-10-20 14:15:27.370,101.55328,8.579426,1134.096,
R3,2022-10-20 14:15:31.170,2022-10-20 14:15:32.390,2022-10-20 14:15:31.780,261.19647999999995,10.328100000000001,1088.468,
R4,2022-10-20 14:15:35.100,2022-10-20 14:15:36.720,2022-10-20 14:15:35.910,79.44678,6.714846,1127.242,
R5,2022-10-20 14:15:39.940,2022-10-20 14:15:42.040,2022-10-20 14:15:40.990,153.69468,5.089842,982.7941999999999,
R6,2022-10-20 14:15:46.140,2022-10-20 14:15:48.720,2022-10-20 14:15:47.430,60.765812000000004,4.5364580000000005,1069.932,
F1,2022-10-20 14:15:55.150,2022-10-20 14:15:55.650,2022-10-20 14:15:55.400,96.47818,1.39208,974.1904000000001,933.9495000000001
F2,2022-10-20 14:15:55.280,2022-10-20 14:15:55.760,2022-10-20 14:15:55.520,94.31496,1.392346,969.1322,973.8986000000001
F3,2022-10-20 14:15:55.380,2022-10-20 14:15:55.860,2022-10-20 14:15:55.620,128.4136,1.87271,1047.0790000000002,968.4026
F4,2022-10-20 14:15:55.480,2022-10-20 14:15:55.950,2022-10-20 14:15:55.715,75.65992,1.2166350000000001,1062.6730000000002,1046.405
