index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-20 13:39:19.370,2022-10-20 13:39:19.960,2022-10-20 13:39:19.665,267.19155,12.704439999999998,1095.524,
R2,2022-10-20 13:39:24.490,2022-10-20 13:39:25.270,2022-10-20 13:39:24.880,106.39666,8.910156,1129.156,
R3,2022-10-20 13:39:28.390,2022-10-20 13:39:29.440,2022-10-20 13:39:28.915,256.73546,10.345029,1100.2279999999998,
R4,2022-10-20 13:39:33.580,2022-10-20 13:39:34.990,2022-10-20 13:39:34.285,85.53972999999999,7.03646,1143.9779999999998,
R5,2022-10-20 13:39:38.380,2022-10-20 13:39:40.230,2022-10-20 13:39:39.305,163.20627000000002,5.388672,,
R6,2022-10-20 13:39:44.760,2022-10-20 13:39:47.000,2022-10-20 13:39:45.880,63.258047999999995,4.709636000000001,1068.328,
F1,2022-10-20 13:39:53.750,2022-10-20 13:39:54.180,2022-10-20 13:39:53.965,94.49771,1.4550315999999999,982.9494,945.9287999999999
F2,2022-10-20 13:39:53.880,2022-10-20 13:39:54.300,2022-10-20 13:39:54.090,94.47602,1.5806660000000001,965.0260999999999,983.4506000000001
F3,2022-10-20 13:39:53.990,2022-10-20 13:39:54.410,2022-10-20 13:39:54.200,128.68540000000002,1.880246,1062.366,964.3315
F4,2022-10-20 13:39:54.080,2022-10-20 13:39:54.500,2022-10-20 13:39:54.290,73.46826,1.219402,1026.354,1056.6799999999998
