index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-07 10:50:03.440,2022-10-07 10:50:03.780,2022-10-07 10:50:03.610,155.75356,11.308580000000001,952.3151,
R2,2022-10-07 10:50:11.070,2022-10-07 10:50:11.550,2022-10-07 10:50:11.310,123.25842,11.29428,,
R3,2022-10-07 10:50:15.070,2022-10-07 10:50:15.430,2022-10-07 10:50:15.250,193.50158000000002,11.98566,1168.73,
R4,2022-10-07 10:50:21.380,2022-10-07 10:50:21.840,2022-10-07 10:50:21.610,95.68164,9.041666000000001,1176.2400000000002,
R5,2022-10-07 10:50:26.740,2022-10-07 10:50:27.340,2022-10-07 10:50:27.040,144.28348,7.2447919999999995,1107.794,
R6,2022-10-07 10:50:31.920,2022-10-07 10:50:32.700,2022-10-07 10:50:32.310,57.8186,5.5260419999999995,1123.342,
R7,2022-10-07 10:50:36.940,2022-10-07 10:50:38.030,2022-10-07 10:50:37.485,164.35143,6.763672,1079.41,
R8,2022-10-07 10:50:42.040,2022-10-07 10:50:43.490,2022-10-07 10:50:42.765,50.779287999999994,4.823569000000001,1080.942,
R9,2022-10-07 10:50:47.410,2022-10-07 10:50:49.160,2022-10-07 10:50:48.285,84.64286999999999,2.930338,,
R10,2022-10-07 10:50:56.910,2022-10-07 10:50:59.050,2022-10-07 10:50:57.980,42.102798,3.458334,970.2708,
F1,2022-10-07 10:51:09.100,2022-10-07 10:51:09.320,2022-10-07 10:51:09.210,102.2364,1.281262,875.4153,858.264
F2,2022-10-07 10:51:09.220,2022-10-07 10:51:09.500,2022-10-07 10:51:09.360,92.90563999999999,1.221818,891.4756,885.9518
F3,2022-10-07 10:51:09.320,2022-10-07 10:51:09.670,2022-10-07 10:51:09.495,107.2596,1.6299420000000002,936.9296,892.0833999999999
F4,2022-10-07 10:51:09.400,2022-10-07 10:51:09.760,2022-10-07 10:51:09.580,78.61922,0.9867203999999999,942.0314000000001,936.6564000000001
