index,start,end,mid,roll_force,roll_torque,out_temperature
R1,2022-10-20 10:45:59.580,2022-10-20 10:45:59.980,2022-10-20 10:45:59.780,291.37702,9.82291,1167.9299999999998
R2,2022-10-20 10:46:07.220,2022-10-20 10:46:07.720,2022-10-20 10:46:07.470,202.0339,8.10481,1150.466
R3,2022-10-20 10:46:12.390,2022-10-20 10:46:12.740,2022-10-20 10:46:12.565,371.82809,10.652015,1137.598
R4,2022-10-20 10:46:17.990,2022-10-20 10:46:18.440,2022-10-20 10:46:18.215,185.97501,7.840825,1153.404
