index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-20 14:12:56.550,2022-10-20 14:12:57.200,2022-10-20 14:12:56.875,255.50858999999997,5.911135,1110.526,
R2,2022-10-20 14:13:01.490,2022-10-20 14:13:02.330,2022-10-20 14:13:01.910,107.29962,4.297525,1134.714,
R3,2022-10-20 14:13:05.570,2022-10-20 14:13:06.740,2022-10-20 14:13:06.155,256.8124,5.1061245,1086.828,
R4,2022-10-20 14:13:10.380,2022-10-20 14:13:11.940,2022-10-20 14:13:11.160,80.16588200000001,3.4492199999999995,1131.578,
R5,2022-10-20 14:13:15.770,2022-10-20 14:13:17.800,2022-10-20 14:13:16.785,161.07188,2.7766930000000003,1071.19,
R6,2022-10-20 14:13:22.940,2022-10-20 14:13:25.410,2022-10-20 14:13:24.175,62.477026,2.363281,1044.262,
F1,2022-10-20 14:13:32.480,2022-10-20 14:13:32.950,2022-10-20 14:13:32.715,93.90357,0.744393,956.8268,910.1563000000001
F2,2022-10-20 14:13:32.610,2022-10-20 14:13:33.070,2022-10-20 14:13:32.840,94.04458,0.769686,955.903,950.0182000000001
F3,2022-10-20 14:13:32.710,2022-10-20 14:13:33.180,2022-10-20 14:13:32.945,126.0404,0.9527485,1035.748,957.3092
F4,2022-10-20 14:13:32.810,2022-10-20 14:13:33.270,2022-10-20 14:13:33.040,73.6347,0.6155280000000001,1051.562,1029.17
