index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-07 10:43:05.060,2022-10-07 10:43:05.400,2022-10-07 10:43:05.230,148.33114,5.5019599999999995,1041.934,
R2,2022-10-07 10:43:12.090,2022-10-07 10:43:12.570,2022-10-07 10:43:12.330,121.06286,5.5384,1208.074,
R3,2022-10-07 10:43:16.550,2022-10-07 10:43:16.900,2022-10-07 10:43:16.725,167.46422,5.41309,1175.166,
R4,2022-10-07 10:43:22.900,2022-10-07 10:43:23.340,2022-10-07 10:43:23.120,90.66221999999999,4.294919999999999,1165.176,
R5,2022-10-07 10:43:28.640,2022-10-07 10:43:29.270,2022-10-07 10:43:28.955,138.10253,3.386068,1147.53,
R6,2022-10-07 10:43:35.230,2022-10-07 10:43:36.030,2022-10-07 10:43:35.630,59.65822000000001,2.665365,1096.688,
R7,2022-10-07 10:43:40.340,2022-10-07 10:43:41.450,2022-10-07 10:43:40.895,159.7235,3.2431650000000003,1070.734,
R8,2022-10-07 10:43:46.040,2022-10-07 10:43:47.480,2022-10-07 10:43:46.760,52.29039,2.41276,1061.09,
R9,2022-10-07 10:43:51.000,2022-10-07 10:43:52.750,2022-10-07 10:43:51.875,81.98073300000001,1.4313150000000001,932.2265,
R10,2022-10-07 10:44:00.140,2022-10-07 10:44:02.290,2022-10-07 10:44:01.215,43.72471899999999,1.722005,954.7034,
F1,2022-10-07 10:44:11.310,2022-10-07 10:44:11.530,2022-10-07 10:44:11.420,106.16040000000001,0.638089,896.0784,858.5763
F2,2022-10-07 10:44:11.430,2022-10-07 10:44:11.710,2022-10-07 10:44:11.570,94.0791,0.601836,894.8785,885.3046
F3,2022-10-07 10:44:11.530,2022-10-07 10:44:11.880,2022-10-07 10:44:11.705,109.02180000000001,0.832745,931.0326,896.0242000000001
F4,2022-10-07 10:44:11.610,2022-10-07 10:44:11.970,2022-10-07 10:44:11.790,81.23168,0.48906289999999997,945.3817999999999,931.406
