index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-25 13:09:28.300,2023-04-25 13:09:28.760,2023-04-25 13:09:28.530,184.06022578,13.368476800000002,1180.491,1180.232
R2,2023-04-25 13:09:33.880,2023-04-25 13:09:34.510,2023-04-25 13:09:34.195,136.2851646,11.295567400000001,1162.786,1157.684
R3,2023-04-25 13:09:38.090,2023-04-25 13:09:38.560,2023-04-25 13:09:38.325,206.9621096,12.90299836,1136.994,1139.002
R4,2023-04-25 13:09:43.470,2023-04-25 13:09:44.080,2023-04-25 13:09:43.775,102.450677,8.343088999999997,1153.034,1152.836
R5,2023-04-25 13:09:49.280,2023-04-25 13:09:50.150,2023-04-25 13:09:49.715,146.66184116,7.292970400000001,1120.9540000000002,1103.6380000000001
R6,2023-04-25 13:09:54.170,2023-04-25 13:09:55.270,2023-04-25 13:09:54.720,63.432367199999995,4.2109378,1097.164,1080.376
R7,2023-04-25 13:09:58.870,2023-04-25 13:10:00.330,2023-04-25 13:09:59.600,166.35905412000002,6.815103860000001,1073.374,1066.34
R8,2023-04-25 13:10:05.360,2023-04-25 13:10:07.310,2023-04-25 13:10:06.335,56.939593120000005,3.772137,1051.702,1038.85
R9,2023-04-25 13:10:10.850,2023-04-25 13:10:13.230,2023-04-25 13:10:12.040,87.35050446,3.0013012,1006.403,998.817
R10,2023-04-25 13:10:18.890,2023-04-25 13:10:21.780,2023-04-25 13:10:20.335,46.3045966,2.2291662000000008,973.0054,935.5808000000001
F1,2023-04-25 13:10:29.370,2023-04-25 13:10:30.210,2023-04-25 13:10:29.790,55.48982,0.99553366,888.7152,
F2,2023-04-25 13:10:29.560,2023-04-25 13:10:30.400,2023-04-25 13:10:29.980,53.39299200000001,0.71269866,,880.2552
F3,2023-04-25 13:10:29.720,2023-04-25 13:10:30.530,2023-04-25 13:10:30.125,68.565368,1.3699010600000001,882.5337999999999,921.3986000000001
F4,2023-04-25 13:10:29.850,2023-04-25 13:10:30.640,2023-04-25 13:10:30.245,35.263732000000005,0.72490226,896.8254999999999,951.1628000000001
