index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-25 13:31:52.940,2023-04-25 13:31:53.410,2023-04-25 13:31:53.175,189.35951472000002,13.854826400000002,1169.5880000000002,1139.813
R2,2023-04-25 13:31:58.110,2023-04-25 13:31:58.750,2023-04-25 13:31:58.430,140.12519308,11.6666604,1152.288,1152.69
R3,2023-04-25 13:32:03.970,2023-04-25 13:32:04.440,2023-04-25 13:32:04.205,217.29229320000002,13.29297358,1129.974,1129.3020000000001
R4,2023-04-25 13:32:09.470,2023-04-25 13:32:10.070,2023-04-25 13:32:09.770,105.03506306,8.71744,1133.4959999999999,1122.136
R5,2023-04-25 13:32:15.360,2023-04-25 13:32:16.180,2023-04-25 13:32:15.770,158.36503086,8.0846346,1109.9779999999998,1100.282
R6,2023-04-25 13:32:19.960,2023-04-25 13:32:21.050,2023-04-25 13:32:20.505,66.02805379999998,4.590492,1096.2540000000001,1095.2540000000001
R7,2023-04-25 13:32:24.270,2023-04-25 13:32:25.740,2023-04-25 13:32:25.005,171.42646666000002,7.156249878000001,1077.806,1069.346
R8,2023-04-25 13:32:29.150,2023-04-25 13:32:31.110,2023-04-25 13:32:30.130,55.093793199999986,3.7265597999999995,1054.71,1070.256
R9,2023-04-25 13:32:36.900,2023-04-25 13:32:39.310,2023-04-25 13:32:38.105,86.14197648,2.975911,1012.436,992.4558000000001
R10,2023-04-25 13:32:42.670,2023-04-25 13:32:45.640,2023-04-25 13:32:44.155,43.42114068000001,2.1744784,965.039,951.8592000000001
F1,2023-04-25 13:32:53.080,2023-04-25 13:32:53.930,2023-04-25 13:32:53.505,53.01789,0.9783939800000001,889.0450000000001,
F2,2023-04-25 13:32:53.270,2023-04-25 13:32:54.120,2023-04-25 13:32:53.695,52.44963,0.6924897999999999,,919.7396000000001
F3,2023-04-25 13:32:53.430,2023-04-25 13:32:54.250,2023-04-25 13:32:53.840,65.24964,1.3649921096,913.979,936.5103999999999
F4,2023-04-25 13:32:53.560,2023-04-25 13:32:54.370,2023-04-25 13:32:53.965,32.947199999999995,0.7079751600000002,940.7849000000001,963.802
