index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-25 10:38:14.590,2023-04-25 10:38:15.040,2023-04-25 10:38:14.815,159.4368,5.874995,1186.78,
R2,2023-04-25 10:38:20.830,2023-04-25 10:38:21.450,2023-04-25 10:38:21.140,133.16012,5.94791,1163.902,
R3,2023-04-25 10:38:25.430,2023-04-25 10:38:25.880,2023-04-25 10:38:25.655,194.64587,6.112305,1148.7720000000002,
R4,2023-04-25 10:38:31.220,2023-04-25 10:38:31.820,2023-04-25 10:38:31.520,96.82514,4.652343,1115.886,
R5,2023-04-25 10:38:36.880,2023-04-25 10:38:37.680,2023-04-25 10:38:37.280,143.30698,3.7233069999999997,1118.62,
R6,2023-04-25 10:38:41.750,2023-04-25 10:38:42.800,2023-04-25 10:38:42.275,61.68896,2.7792965,1092.316,
R7,2023-04-25 10:38:47.270,2023-04-25 10:38:48.700,2023-04-25 10:38:47.985,161.80569000000003,3.463542,1079.7720000000002,
R8,2023-04-25 10:38:55.650,2023-04-25 10:38:57.570,2023-04-25 10:38:56.610,56.56658600000001,2.5996099999999998,1026.362,
R9,2023-04-25 10:39:03.230,2023-04-25 10:39:05.580,2023-04-25 10:39:04.405,93.046213,1.6194665000000001,986.6039999999999,
R10,2023-04-25 10:39:12.200,2023-04-25 10:39:15.040,2023-04-25 10:39:13.620,47.88011,1.866537,937.7502000000001,
F1,2023-04-25 10:39:22.550,2023-04-25 10:39:23.360,2023-04-25 10:39:22.955,86.59416,0.7271875,,855.2602999999999
F2,2023-04-25 10:39:22.740,2023-04-25 10:39:23.550,2023-04-25 10:39:23.145,79.46822,0.45780975,878.3135,
F3,2023-04-25 10:39:22.900,2023-04-25 10:39:23.680,2023-04-25 10:39:23.290,104.1258,0.856571,913.3227999999999,878.0678
F4,2023-04-25 10:39:23.030,2023-04-25 10:39:23.800,2023-04-25 10:39:23.415,63.12701,0.4439453,945.052,912.7216000000001
