index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-25 11:34:48.140,2023-04-25 11:34:48.590,2023-04-25 11:34:48.365,163.38322,6.06446,1180.4199999999998,
R2,2023-04-25 11:34:53.570,2023-04-25 11:34:54.190,2023-04-25 11:34:53.880,131.40422,5.91275,1159.252,
R3,2023-04-25 11:34:58.070,2023-04-25 11:34:58.540,2023-04-25 11:34:58.305,209.78627,6.32357,1136.428,
R4,2023-04-25 11:35:02.620,2023-04-25 11:35:03.200,2023-04-25 11:35:02.910,97.68886,4.657553,1148.348,
R5,2023-04-25 11:35:07.590,2023-04-25 11:35:08.380,2023-04-25 11:35:07.985,140.54476,3.7132155,1119.784,
R6,2023-04-25 11:35:11.230,2023-04-25 11:35:12.290,2023-04-25 11:35:11.760,58.3839,2.677084,1106.5539999999999,
R7,2023-04-25 11:35:16.240,2023-04-25 11:35:17.690,2023-04-25 11:35:16.965,160.30527,3.3645834999999997,1084.114,
R8,2023-04-25 11:35:21.750,2023-04-25 11:35:23.690,2023-04-25 11:35:22.720,50.67195,2.383464,1062.804,
R9,2023-04-25 11:35:27.020,2023-04-25 11:35:29.350,2023-04-25 11:35:28.185,81.58888999999999,1.4505214999999998,994.133,
R10,2023-04-25 11:35:34.050,2023-04-25 11:35:36.920,2023-04-25 11:35:35.485,39.860478,1.6692705,984.7995999999999,
F1,2023-04-25 11:35:43.680,2023-04-25 11:35:44.500,2023-04-25 11:35:44.090,55.035019999999996,0.65045,,877.9338
F2,2023-04-25 11:35:43.870,2023-04-25 11:35:44.700,2023-04-25 11:35:44.285,50.91661,0.41522225,925.6822999999999,
F3,2023-04-25 11:35:44.030,2023-04-25 11:35:44.830,2023-04-25 11:35:44.430,67.62308,0.750443,952.8348,926.5573
F4,2023-04-25 11:35:44.160,2023-04-25 11:35:44.940,2023-04-25 11:35:44.550,30.23532,0.398763,981.9964,951.7682000000001
