index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-25 11:57:36.150,2023-04-25 11:57:36.610,2023-04-25 11:57:36.380,183.90742792,13.5612126,1166.67,1157.794
R2,2023-04-25 11:57:41.730,2023-04-25 11:57:42.350,2023-04-25 11:57:42.040,140.49607008,11.5351302,1159.9279999999999,1159.288
R3,2023-04-25 11:57:46.480,2023-04-25 11:57:47.080,2023-04-25 11:57:46.780,193.25963344000002,12.962253739999998,1133.914,1129.3220000000001
R4,2023-04-25 11:57:52.330,2023-04-25 11:57:52.930,2023-04-25 11:57:52.630,104.53093928000001,8.779951,1142.608,1117.1060000000002
R5,2023-04-25 11:57:57.970,2023-04-25 11:57:58.780,2023-04-25 11:57:58.375,153.8746266,7.8066422,1108.066,1107.5539999999999
R6,2023-04-25 11:58:02.320,2023-04-25 11:58:03.390,2023-04-25 11:58:02.855,63.77855245999999,4.4817716,1097.532,1091.952
R7,2023-04-25 11:58:07.340,2023-04-25 11:58:08.810,2023-04-25 11:58:08.075,173.315859,7.02278526,1068.966,1061.29
R8,2023-04-25 11:58:12.820,2023-04-25 11:58:14.760,2023-04-25 11:58:13.790,55.96366262,3.7604165999999997,1051.666,1070.53
R9,2023-04-25 11:58:18.120,2023-04-25 11:58:20.480,2023-04-25 11:58:19.300,85.9918534,2.92838512,995.2446000000001,1006.11
R10,2023-04-25 11:58:24.300,2023-04-25 11:58:27.200,2023-04-25 11:58:25.750,42.27487602,2.1432298000000003,973.1328,955.0130000000001
F1,2023-04-25 11:58:34.370,2023-04-25 11:58:35.210,2023-04-25 11:58:34.790,52.409076,0.91005026,873.4636,
F2,2023-04-25 11:58:34.570,2023-04-25 11:58:35.400,2023-04-25 11:58:34.985,50.1199352,0.6874925,,921.9997999999999
F3,2023-04-25 11:58:34.720,2023-04-25 11:58:35.530,2023-04-25 11:58:35.125,64.16885,1.35644156,924.3149999999999,936.6928
F4,2023-04-25 11:58:34.850,2023-04-25 11:58:35.650,2023-04-25 11:58:35.250,32.463999,0.6871090999999999,933.5758,970.5208
