index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-25 11:05:28.050,2023-04-25 11:05:28.500,2023-04-25 11:05:28.275,186.25292,6.695315,1180.364,
R2,2023-04-25 11:05:33.260,2023-04-25 11:05:33.900,2023-04-25 11:05:33.580,139.74708,6.26497,1159.398,
R3,2023-04-25 11:05:37.540,2023-04-25 11:05:38.010,2023-04-25 11:05:37.775,204.02416,6.4068950000000005,1141.2400000000002,
R4,2023-04-25 11:05:42.210,2023-04-25 11:05:42.820,2023-04-25 11:05:42.515,105.24809,4.7584635,1144.068,
R5,2023-04-25 11:05:47.550,2023-04-25 11:05:48.410,2023-04-25 11:05:47.980,146.52874000000003,3.7057279999999997,1132.9299999999998,
R6,2023-04-25 11:05:51.730,2023-04-25 11:05:52.800,2023-04-25 11:05:52.265,61.86245,2.6920575,1104.7279999999998,
R7,2023-04-25 11:05:56.500,2023-04-25 11:05:57.960,2023-04-25 11:05:57.230,162.59548,3.3457029999999994,1082.49,
R8,2023-04-25 11:06:01.470,2023-04-25 11:06:03.430,2023-04-25 11:06:02.450,51.691351999999995,2.3847639999999997,1068.4720000000002,
R9,2023-04-25 11:06:07.420,2023-04-25 11:06:09.830,2023-04-25 11:06:08.625,83.96857,1.4052729999999998,,
R10,2023-04-25 11:06:13.540,2023-04-25 11:06:16.470,2023-04-25 11:06:15.005,39.8585665,1.626303,975.0288,
F1,2023-04-25 11:06:23.150,2023-04-25 11:06:23.990,2023-04-25 11:06:23.570,76.84952000000001,0.5565084,,878.9236000000001
F2,2023-04-25 11:06:23.340,2023-04-25 11:06:24.180,2023-04-25 11:06:23.760,73.0889,0.35288620000000004,926.7307000000001,
F3,2023-04-25 11:06:23.500,2023-04-25 11:06:24.310,2023-04-25 11:06:23.905,96.12835,0.6993295,946.2448,926.7034
F4,2023-04-25 11:06:23.630,2023-04-25 11:06:24.420,2023-04-25 11:06:24.025,59.69843,0.3694336,978.5243,945.6616
