index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-25 11:38:58.070,2023-04-25 11:38:58.540,2023-04-25 11:38:58.305,162.87195340000002,12.207684000000002,1188.692,1076.276
R2,2023-04-25 11:39:03.670,2023-04-25 11:39:04.310,2023-04-25 11:39:03.990,128.71071158,10.555973600000002,1165.196,1163.48
R3,2023-04-25 11:39:07.840,2023-04-25 11:39:08.330,2023-04-25 11:39:08.085,195.49002868000002,12.369140599999998,1146.182,1140.33
R4,2023-04-25 11:39:13.950,2023-04-25 11:39:14.560,2023-04-25 11:39:14.255,97.75565008000001,8.052734000000001,1147.6799999999998,1153.8380000000002
R5,2023-04-25 11:39:19.800,2023-04-25 11:39:20.610,2023-04-25 11:39:20.205,145.59748960000002,7.62239504,1113.442,1105.44
R6,2023-04-25 11:39:24.110,2023-04-25 11:39:25.190,2023-04-25 11:39:24.650,61.2463394,4.360676000000001,1096.578,1108.942
R7,2023-04-25 11:39:28.930,2023-04-25 11:39:30.390,2023-04-25 11:39:29.660,163.15932678,6.873699039999999,1076.384,1063.66
R8,2023-04-25 11:39:33.970,2023-04-25 11:39:35.970,2023-04-25 11:39:34.970,50.2877295,3.654946,1060.434,1072.958
R9,2023-04-25 11:39:39.740,2023-04-25 11:39:42.190,2023-04-25 11:39:40.965,83.91920638,3.0364608,996.174,1002.8639999999999
R10,2023-04-25 11:39:46.010,2023-04-25 11:39:48.990,2023-04-25 11:39:47.500,41.57800245999999,2.2343793999999995,980.5704,956.9816000000001
F1,2023-04-25 11:39:56.350,2023-04-25 11:39:57.210,2023-04-25 11:39:56.780,58.5265542,1.1058243799999998,873.9584000000001,
F2,2023-04-25 11:39:56.540,2023-04-25 11:39:57.400,2023-04-25 11:39:56.970,52.915536,0.7944983,,927.1407999999999
F3,2023-04-25 11:39:56.700,2023-04-25 11:39:57.530,2023-04-25 11:39:57.115,68.5545,1.42158256,932.8279999999999,942.4714
F4,2023-04-25 11:39:56.830,2023-04-25 11:39:57.640,2023-04-25 11:39:57.235,34.117008,0.73645826,897.9378,972.1351999999999
