index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 12:04:48.880,2023-04-27 12:04:49.350,2023-04-27 12:04:49.115,176.24221,6.32324,1180.25,
R2,2023-04-27 12:04:55.990,2023-04-27 12:04:56.650,2023-04-27 12:04:56.320,147.61596,6.21745,1161.146,
R3,2023-04-27 12:05:01.200,2023-04-27 12:05:01.690,2023-04-27 12:05:01.445,229.15476999999998,6.8577449999999995,1145.0880000000002,
R4,2023-04-27 12:05:07.050,2023-04-27 12:05:07.670,2023-04-27 12:05:07.360,109.72359999999999,4.903646,1133.984,
R5,2023-04-27 12:05:13.000,2023-04-27 12:05:13.820,2023-04-27 12:05:13.410,162.01994,4.055338000000001,1097.02,
R6,2023-04-27 12:05:18.820,2023-04-27 12:05:19.930,2023-04-27 12:05:19.375,71.16744,3.006185,1090.658,
R7,2023-04-27 12:05:25.560,2023-04-27 12:05:27.030,2023-04-27 12:05:26.295,192.55921999999998,3.7766925000000002,1053.5040000000001,
R8,2023-04-27 12:05:31.350,2023-04-27 12:05:33.340,2023-04-27 12:05:32.345,60.962261999999996,2.6321624999999997,1033.544,
R9,2023-04-27 12:05:38.310,2023-04-27 12:05:40.780,2023-04-27 12:05:39.545,100.72337,1.5686849999999999,,
R10,2023-04-27 12:05:44.600,2023-04-27 12:05:47.620,2023-04-27 12:05:46.110,49.280316,1.7786459999999997,958.677,
F1,2023-04-27 12:05:56.060,2023-04-27 12:05:56.930,2023-04-27 12:05:56.495,76.09401,0.64212145,,855.4513999999999
F2,2023-04-27 12:05:56.250,2023-04-27 12:05:57.120,2023-04-27 12:05:56.685,71.06986,0.44283935,896.0238000000002,
F3,2023-04-27 12:05:56.410,2023-04-27 12:05:57.250,2023-04-27 12:05:56.830,89.74947999999999,0.797523,913.4142,896.0238000000002
F4,2023-04-27 12:05:56.540,2023-04-27 12:05:57.360,2023-04-27 12:05:56.950,52.04598,0.4300457,956.4756,913.2409
