index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 14:15:22.770,2023-04-27 14:15:23.240,2023-04-27 14:15:23.005,180.01181659999997,13.4270836,1169.8600000000001,1100.0459999999998
R2,2023-04-27 14:15:29.460,2023-04-27 14:15:30.120,2023-04-27 14:15:29.790,142.84281176000002,11.6627734,1151.962,1151.286
R3,2023-04-27 14:15:33.730,2023-04-27 14:15:34.200,2023-04-27 14:15:33.965,220.29777131999998,13.8118442,1125.126,1121.028
R4,2023-04-27 14:15:40.210,2023-04-27 14:15:40.840,2023-04-27 14:15:40.525,112.78117799999998,9.1197886,1110.1619999999998,1121.482
R5,2023-04-27 14:15:45.500,2023-04-27 14:15:46.320,2023-04-27 14:15:45.910,167.5008378,8.4023468,1096.344,1090.53
R6,2023-04-27 14:15:50.930,2023-04-27 14:15:52.030,2023-04-27 14:15:51.480,73.16112297999999,4.9218746,1083.312,1088.234
R7,2023-04-27 14:15:57.000,2023-04-27 14:15:58.500,2023-04-27 14:15:57.750,183.6346832,7.5703154,1062.074,1045.924
R8,2023-04-27 14:16:04.400,2023-04-27 14:16:06.410,2023-04-27 14:16:05.405,64.432405,4.201819400000001,1024.284,1016.298
R9,2023-04-27 14:16:09.970,2023-04-27 14:16:12.370,2023-04-27 14:16:11.170,96.46979132,3.4127634000000002,991.1614,976.414
R10,2023-04-27 14:16:15.360,2023-04-27 14:16:18.320,2023-04-27 14:16:16.840,48.1032076,2.4440102,953.3176,943.9662000000001
F1,2023-04-27 14:16:25.850,2023-04-27 14:16:26.720,2023-04-27 14:16:26.285,63.62075,1.1807441399999998,893.4374,
F2,2023-04-27 14:16:26.050,2023-04-27 14:16:26.910,2023-04-27 14:16:26.480,58.42626,0.75364238,,899.5781999999999
F3,2023-04-27 14:16:26.210,2023-04-27 14:16:27.040,2023-04-27 14:16:26.625,71.05013,1.4553387096,881.1668,942.6624999999999
F4,2023-04-27 14:16:26.330,2023-04-27 14:16:27.150,2023-04-27 14:16:26.740,37.62886000000001,0.77695334,,934.6267
