index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 13:09:33.720,2023-04-27 13:09:34.190,2023-04-27 13:09:33.955,181.16205,6.523115,1170.756,
R2,2023-04-27 13:09:40.570,2023-04-27 13:09:41.220,2023-04-27 13:09:40.895,143.09021,6.3053349999999995,1151.142,
R3,2023-04-27 13:09:44.610,2023-04-27 13:09:45.090,2023-04-27 13:09:44.850,228.92564000000002,6.74936,1126.24,
R4,2023-04-27 13:09:50.600,2023-04-27 13:09:51.210,2023-04-27 13:09:50.905,109.83266,5.0927805,1128.426,
R5,2023-04-27 13:09:56.900,2023-04-27 13:09:57.710,2023-04-27 13:09:57.305,160.0624,4.115235,1092.024,
R6,2023-04-27 13:10:00.400,2023-04-27 13:10:01.480,2023-04-27 13:10:00.940,67.72536,2.9335940000000003,1083.404,
R7,2023-04-27 13:10:05.130,2023-04-27 13:10:06.580,2023-04-27 13:10:05.855,178.66169000000002,3.6054684999999997,1044.664,
R8,2023-04-27 13:10:11.820,2023-04-27 13:10:13.800,2023-04-27 13:10:12.810,56.923434,2.565105,1044.3,
R9,2023-04-27 13:10:17.440,2023-04-27 13:10:19.860,2023-04-27 13:10:18.650,90.87966,1.551432,,
R10,2023-04-27 13:10:24.130,2023-04-27 13:10:27.100,2023-04-27 13:10:25.615,44.967934,1.7503259999999998,969.7423999999999,
F1,2023-04-27 13:10:34.140,2023-04-27 13:10:34.990,2023-04-27 13:10:34.565,79.03539,0.634165,,873.7846
F2,2023-04-27 13:10:34.340,2023-04-27 13:10:35.180,2023-04-27 13:10:34.760,71.65657999999999,0.4165373,913.8696,
F3,2023-04-27 13:10:34.490,2023-04-27 13:10:35.310,2023-04-27 13:10:34.900,88.86966,0.73922,925.281,914.0704
F4,2023-04-27 13:10:34.620,2023-04-27 13:10:35.430,2023-04-27 13:10:35.025,51.76855,0.4152507,972.309,925.2081999999999
