index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 14:54:28.070,2023-04-27 14:54:28.540,2023-04-27 14:54:28.305,173.1039188,12.992836200000001,1166.798,1157.958
R2,2023-04-27 14:54:34.490,2023-04-27 14:54:35.140,2023-04-27 14:54:34.815,137.56659046,11.3131322,1164.45,1158.1979999999999
R3,2023-04-27 14:54:39.070,2023-04-27 14:54:39.540,2023-04-27 14:54:39.305,219.27526676,13.2812488,1139.692,1134.862
R4,2023-04-27 14:54:43.810,2023-04-27 14:54:44.410,2023-04-27 14:54:44.110,104.66363159999999,8.5234402,1147.53,1143.617
R5,2023-04-27 14:54:48.680,2023-04-27 14:54:49.490,2023-04-27 14:54:49.085,154.47496532,7.99674674,1114.882,1102.138
R6,2023-04-27 14:54:53.020,2023-04-27 14:54:54.090,2023-04-27 14:54:53.555,65.63550400000001,4.573565599999999,1114.392,1095.398
R7,2023-04-27 14:54:57.660,2023-04-27 14:54:59.120,2023-04-27 14:54:58.390,174.34411219999998,7.18880206,1072.5539999999999,1072.266
R8,2023-04-27 14:55:03.400,2023-04-27 14:55:05.380,2023-04-27 14:55:04.390,59.185474279999994,3.8502594,1058.462,1045.592
R9,2023-04-27 14:55:08.800,2023-04-27 14:55:11.180,2023-04-27 14:55:09.990,88.46733307999999,3.0976595999999996,1017.0260000000001,1003.9979999999999
R10,2023-04-27 14:55:15.250,2023-04-27 14:55:18.180,2023-04-27 14:55:16.715,47.56500712,2.2623699999999998,988.9010000000001,953.2630000000001
F1,2023-04-27 14:55:25.580,2023-04-27 14:55:26.430,2023-04-27 14:55:26.005,58.97030199999999,1.04949784,889.3837,
F2,2023-04-27 14:55:25.770,2023-04-27 14:55:26.620,2023-04-27 14:55:26.195,55.504092,0.7456202000000001,,865.5535
F3,2023-04-27 14:55:25.930,2023-04-27 14:55:26.750,2023-04-27 14:55:26.340,69.3176,1.3577129000000001,908.3646000000001,951.759
F4,2023-04-27 14:55:26.060,2023-04-27 14:55:26.860,2023-04-27 14:55:26.460,36.144564,0.7708984200000001,940.4295999999999,966.5367
