index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 14:17:09.600,2023-04-27 14:17:10.070,2023-04-27 14:17:09.835,182.77193978,13.585266800000001,1157.118,1167.0
R2,2023-04-27 14:17:16.100,2023-04-27 14:17:16.740,2023-04-27 14:17:16.420,143.34507416,11.7512974,1147.24,1150.066
R3,2023-04-27 14:17:20.600,2023-04-27 14:17:21.050,2023-04-27 14:17:20.825,227.606692,13.925132799999998,1130.234,1126.73
R4,2023-04-27 14:17:26.590,2023-04-27 14:17:27.200,2023-04-27 14:17:26.895,110.8396214,9.176432,1119.132,1131.6860000000001
R5,2023-04-27 14:17:32.190,2023-04-27 14:17:33.010,2023-04-27 14:17:32.600,169.11258199999997,8.406251,1091.35,1096.782
R6,2023-04-27 14:17:37.690,2023-04-27 14:17:38.770,2023-04-27 14:17:38.230,70.48049508,4.9335934,1089.234,1078.97
R7,2023-04-27 14:17:42.400,2023-04-27 14:17:43.850,2023-04-27 14:17:43.125,183.67999576000003,7.46940124,1063.3319999999999,1049.712
R8,2023-04-27 14:17:48.420,2023-04-27 14:17:50.380,2023-04-27 14:17:49.400,58.85112708,4.0156276,1041.5639999999999,1045.066
R9,2023-04-27 14:17:53.820,2023-04-27 14:17:56.220,2023-04-27 14:17:55.020,93.30831572,3.2460932000000002,984.4533,993.4583999999999
R10,2023-04-27 14:18:01.300,2023-04-27 14:18:04.270,2023-04-27 14:18:02.785,48.22517848000001,2.4407558,964.1826000000001,939.9376
F1,2023-04-27 14:18:11.340,2023-04-27 14:18:12.190,2023-04-27 14:18:11.765,63.53273000000001,1.20257456,868.7411999999999,
F2,2023-04-27 14:18:11.540,2023-04-27 14:18:12.380,2023-04-27 14:18:11.960,57.160740000000004,0.74864488,,906.2864
F3,2023-04-27 14:18:11.690,2023-04-27 14:18:12.510,2023-04-27 14:18:12.100,69.45334,1.4532773200000002,910.2968000000001,938.4426
F4,2023-04-27 14:18:11.820,2023-04-27 14:18:12.620,2023-04-27 14:18:12.220,36.81966,0.7833984199999999,959.2788,956.5796
