index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 14:59:39.340,2023-04-27 14:59:39.820,2023-04-27 14:59:39.580,179.60682000000003,6.59766,1127.866,
R2,2023-04-27 14:59:46.510,2023-04-27 14:59:47.160,2023-04-27 14:59:46.835,146.77686,6.397779999999999,1134.096,
R3,2023-04-27 14:59:51.400,2023-04-27 14:59:51.860,2023-04-27 14:59:51.630,234.05484,7.00129,1120.9180000000001,
R4,2023-04-27 14:59:56.920,2023-04-27 14:59:57.530,2023-04-27 14:59:57.225,114.01602,5.0751975,1124.982,
R5,2023-04-27 15:00:01.820,2023-04-27 15:00:02.670,2023-04-27 15:00:02.245,168.75178,3.986654,1091.84,
R6,2023-04-27 15:00:07.080,2023-04-27 15:00:08.180,2023-04-27 15:00:07.630,69.93354,2.889975,1087.522,
R7,2023-04-27 15:00:12.600,2023-04-27 15:00:14.110,2023-04-27 15:00:13.355,191.31865,3.6608080000000003,1058.406,
R8,2023-04-27 15:00:18.310,2023-04-27 15:00:20.330,2023-04-27 15:00:19.320,57.017618000000006,2.476563,1040.798,
R9,2023-04-27 15:00:24.210,2023-04-27 15:00:26.640,2023-04-27 15:00:25.425,94.781614,1.4856770000000001,919.594,
R10,2023-04-27 15:00:31.430,2023-04-27 15:00:34.440,2023-04-27 15:00:32.935,46.38294684,1.6673185,965.4766,
F1,2023-04-27 15:00:41.380,2023-04-27 15:00:42.250,2023-04-27 15:00:41.815,84.27261999999999,0.5914463,,867.309
F2,2023-04-27 15:00:41.580,2023-04-27 15:00:42.440,2023-04-27 15:00:42.010,78.61116,0.3950135,912.8854000000001,
F3,2023-04-27 15:00:41.730,2023-04-27 15:00:42.570,2023-04-27 15:00:42.150,96.99462000000001,0.727998,949.6628,913.1316000000002
F4,2023-04-27 15:00:41.860,2023-04-27 15:00:42.690,2023-04-27 15:00:42.275,59.525040000000004,0.41922200000000004,965.5903,949.4348
