index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 13:52:27.080,2023-04-27 13:52:27.540,2023-04-27 13:52:27.310,177.13286976,13.186236200000002,1175.95,1183.3319999999999
R2,2023-04-27 13:52:42.940,2023-04-27 13:52:43.590,2023-04-27 13:52:43.265,153.61759842,12.354819599999999,1107.808,1125.1799999999998
R3,2023-04-27 13:52:47.460,2023-04-27 13:52:47.930,2023-04-27 13:52:47.695,246.59196808000004,14.97655776,1108.428,1112.842
R4,2023-04-27 13:52:52.690,2023-04-27 13:52:53.300,2023-04-27 13:52:52.995,114.13011874,9.440107999999999,1109.212,1113.608
R5,2023-04-27 13:52:58.150,2023-04-27 13:52:58.960,2023-04-27 13:52:58.555,168.8848416,8.6074226,1090.4360000000001,1088.088
R6,2023-04-27 13:53:03.230,2023-04-27 13:53:04.330,2023-04-27 13:53:03.780,72.08053892,5.045572,1077.402,1068.382
R7,2023-04-27 13:53:08.190,2023-04-27 13:53:09.650,2023-04-27 13:53:08.920,181.05667524,7.6432291,1056.676,1039.834
R8,2023-04-27 13:53:14.830,2023-04-27 13:53:16.790,2023-04-27 13:53:15.810,63.333681719999994,4.1783826,1027.1100000000001,1028.6779999999999
R9,2023-04-27 13:53:20.270,2023-04-27 13:53:22.660,2023-04-27 13:53:21.465,97.77784864,3.2532538,996.2474,985.6196
R10,2023-04-27 13:53:27.020,2023-04-27 13:53:29.950,2023-04-27 13:53:28.485,50.6158554,2.4329400000000003,962.305,933.7760000000001
F1,2023-04-27 13:53:37.070,2023-04-27 13:53:37.920,2023-04-27 13:53:37.495,62.53146,1.08373326,879.9393,
F2,2023-04-27 13:53:37.260,2023-04-27 13:53:38.110,2023-04-27 13:53:37.685,58.53842999999999,0.78428436,,871.9426
F3,2023-04-27 13:53:37.420,2023-04-27 13:53:38.240,2023-04-27 13:53:37.830,72.85867999999999,1.4714266200000001,903.6433999999999,941.4960000000001
F4,2023-04-27 13:53:37.550,2023-04-27 13:53:38.350,2023-04-27 13:53:37.950,38.946639999999995,0.7908203399999999,,952.0658
