index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 14:56:15.340,2023-04-27 14:56:15.820,2023-04-27 14:56:15.580,177.23744000000002,6.43229,1177.626,
R2,2023-04-27 14:56:21.750,2023-04-27 14:56:22.410,2023-04-27 14:56:22.080,139.44288,6.16406,1156.846,
R3,2023-04-27 14:56:25.510,2023-04-27 14:56:25.980,2023-04-27 14:56:25.745,213.15155,6.463865,1152.6,
R4,2023-04-27 14:56:30.620,2023-04-27 14:56:31.250,2023-04-27 14:56:30.935,103.95495,4.8059899999999995,1148.5539999999999,
R5,2023-04-27 14:56:35.540,2023-04-27 14:56:36.400,2023-04-27 14:56:35.970,157.16712,3.8945320000000003,1107.752,
R6,2023-04-27 14:56:40.950,2023-04-27 14:56:42.050,2023-04-27 14:56:41.500,67.83228,2.8313800000000002,1103.238,
R7,2023-04-27 14:56:46.040,2023-04-27 14:56:47.540,2023-04-27 14:56:46.790,176.75892,3.5664059999999997,1074.232,
R8,2023-04-27 14:56:51.800,2023-04-27 14:56:53.870,2023-04-27 14:56:52.835,55.770524,2.443684,1057.442,
R9,2023-04-27 14:56:58.550,2023-04-27 14:57:01.050,2023-04-27 14:56:59.800,92.1279,1.4752610000000002,1005.6720000000001,
R10,2023-04-27 14:57:04.910,2023-04-27 14:57:07.940,2023-04-27 14:57:06.425,46.9143351,1.6640620000000002,977.1614,
F1,2023-04-27 14:57:14.850,2023-04-27 14:57:15.730,2023-04-27 14:57:15.290,75.1771,0.555851,,874.0364999999999
F2,2023-04-27 14:57:15.050,2023-04-27 14:57:15.920,2023-04-27 14:57:15.485,70.77073,0.39501345,916.8047999999999,
F3,2023-04-27 14:57:15.200,2023-04-27 14:57:16.050,2023-04-27 14:57:15.625,88.34555,0.7276695,952.7525,907.0885000000001
F4,2023-04-27 14:57:15.330,2023-04-27 14:57:16.160,2023-04-27 14:57:15.745,51.42867,0.41095380000000004,970.3386,947.5391
