index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 11:38:55.660,2023-04-27 11:38:56.130,2023-04-27 11:38:55.895,180.3220251,13.134746199999999,1174.636,1152.5819999999999
R2,2023-04-27 11:39:02.940,2023-04-27 11:39:03.580,2023-04-27 11:39:03.260,143.48927774,11.500006,1154.2779999999998,1159.6740000000002
R3,2023-04-27 11:39:07.190,2023-04-27 11:39:07.660,2023-04-27 11:39:07.425,228.28069957999998,13.83398418,1134.822,1123.178
R4,2023-04-27 11:39:12.870,2023-04-27 11:39:13.480,2023-04-27 11:39:13.175,111.01098828,8.979153,1138.256,1108.228
R5,2023-04-27 11:39:18.550,2023-04-27 11:39:19.350,2023-04-27 11:39:18.950,163.06834759999998,8.26171942,1110.1619999999998,1102.7620000000002
R6,2023-04-27 11:39:23.390,2023-04-27 11:39:24.460,2023-04-27 11:39:23.925,65.92118688,4.880207,1091.784,1095.56
R7,2023-04-27 11:39:27.980,2023-04-27 11:39:29.420,2023-04-27 11:39:28.700,179.71405558,7.4583336000000005,1066.23,1053.854
R8,2023-04-27 11:39:34.150,2023-04-27 11:39:36.100,2023-04-27 11:39:35.125,58.7051862,4.066405,1039.248,1039.524
R9,2023-04-27 11:39:40.530,2023-04-27 11:39:42.900,2023-04-27 11:39:41.715,89.8608414,3.35026226,997.5598,987.552
R10,2023-04-27 11:39:47.440,2023-04-27 11:39:50.330,2023-04-27 11:39:48.885,50.13912854000001,2.4960940000000003,959.4062,952.4245999999999
F1,2023-04-27 11:39:58.240,2023-04-27 11:39:59.080,2023-04-27 11:39:58.660,64.240528,1.2728457800000001,882.2567999999999,
F2,2023-04-27 11:39:58.430,2023-04-27 11:39:59.270,2023-04-27 11:39:58.850,59.415668000000004,0.82115112,,904.9739999999999
F3,2023-04-27 11:39:58.590,2023-04-27 11:39:59.400,2023-04-27 11:39:58.995,72.543654,1.50154116,911.0262,924.0600000000001
F4,2023-04-27 11:39:58.720,2023-04-27 11:39:59.510,2023-04-27 11:39:59.115,37.869264,0.8079753,918.008,969.8435999999999
