index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 14:37:43.760,2023-04-27 14:37:44.220,2023-04-27 14:37:43.990,176.96857326,13.147138,1177.116,1110.032
R2,2023-04-27 14:37:50.450,2023-04-27 14:37:51.090,2023-04-27 14:37:50.770,137.50308,11.368488800000002,1159.692,1156.426
R3,2023-04-27 14:37:54.380,2023-04-27 14:37:54.850,2023-04-27 14:37:54.615,220.03449679999997,13.2929698,1143.41,1138.2559999999999
R4,2023-04-27 14:37:59.460,2023-04-27 14:38:00.060,2023-04-27 14:37:59.760,107.1736564,8.667967599999999,1148.644,1126.568
R5,2023-04-27 14:38:04.510,2023-04-27 14:38:05.310,2023-04-27 14:38:04.910,158.38532464,8.055988,1110.548,1114.008
R6,2023-04-27 14:38:09.640,2023-04-27 14:38:10.740,2023-04-27 14:38:10.190,68.05050998,4.7122408,1099.48,1091.24
R7,2023-04-27 14:38:14.840,2023-04-27 14:38:16.290,2023-04-27 14:38:15.565,177.95781762,7.30468794,1073.904,1064.6779999999999
R8,2023-04-27 14:38:20.940,2023-04-27 14:38:22.900,2023-04-27 14:38:21.920,59.88770784,3.9388014000000005,1047.5439999999999,1065.354
R9,2023-04-27 14:38:27.800,2023-04-27 14:38:30.220,2023-04-27 14:38:29.010,94.4994102,3.1848984000000002,991.3074,989.5206000000001
R10,2023-04-27 14:38:35.510,2023-04-27 14:38:38.430,2023-04-27 14:38:36.970,50.0713986,2.4140618,962.2502000000001,940.2289999999999
F1,2023-04-27 14:38:45.850,2023-04-27 14:38:46.700,2023-04-27 14:38:46.275,61.63659,1.1401536559999998,872.0658,
F2,2023-04-27 14:38:46.050,2023-04-27 14:38:46.880,2023-04-27 14:38:46.465,57.54038,0.76736364,,905.284
F3,2023-04-27 14:38:46.210,2023-04-27 14:38:47.020,2023-04-27 14:38:46.615,68.73912,1.4616515,909.531,936.6200000000001
F4,2023-04-27 14:38:46.330,2023-04-27 14:38:47.130,2023-04-27 14:38:46.730,37.29592000000001,0.7939452600000001,952.0778,963.5592
