index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 13:33:12.460,2023-04-27 13:33:12.920,2023-04-27 13:33:12.690,171.49658372,12.843757800000002,1168.22,1173.272
R2,2023-04-27 13:33:19.440,2023-04-27 13:33:20.080,2023-04-27 13:33:19.760,143.55000192,11.427069000000001,1161.858,1157.026
R3,2023-04-27 13:33:24.660,2023-04-27 13:33:25.140,2023-04-27 13:33:24.900,227.23774998,13.500011599999999,1138.598,1136.212
R4,2023-04-27 13:33:31.090,2023-04-27 13:33:31.700,2023-04-27 13:33:31.395,112.03288973999999,8.8313736,1129.65,1130.288
R5,2023-04-27 13:33:36.600,2023-04-27 13:33:37.400,2023-04-27 13:33:37.000,161.8768014,8.28515386,1103.292,1099.5880000000002
R6,2023-04-27 13:33:41.860,2023-04-27 13:33:42.950,2023-04-27 13:33:42.405,68.50072732000001,4.840495600000001,1087.666,1086.3380000000002
R7,2023-04-27 13:33:47.090,2023-04-27 13:33:48.550,2023-04-27 13:33:47.820,179.14361330000003,7.52604084,1059.0459999999998,1054.4540000000002
R8,2023-04-27 13:33:52.780,2023-04-27 13:33:54.740,2023-04-27 13:33:53.760,61.63988102000001,4.014322,1043.808,1029.8600000000001
R9,2023-04-27 13:33:58.470,2023-04-27 13:34:00.840,2023-04-27 13:33:59.655,91.58069046,3.2220046,987.0325,997.4324
R10,2023-04-27 13:34:05.500,2023-04-27 13:34:08.420,2023-04-27 13:34:06.960,49.96790046,2.3776037999999997,967.883,940.1745999999999
F1,2023-04-27 13:34:15.470,2023-04-27 13:34:16.320,2023-04-27 13:34:15.895,61.71357999999999,1.1172250400000001,879.2621999999999,
F2,2023-04-27 13:34:15.660,2023-04-27 13:34:16.510,2023-04-27 13:34:16.085,56.16271999999999,0.7709140800000001,,912.7214
F3,2023-04-27 13:34:15.820,2023-04-27 13:34:16.640,2023-04-27 13:34:16.230,68.94296,1.4462652200000001,913.8152,942.2710000000001
F4,2023-04-27 13:34:15.950,2023-04-27 13:34:16.750,2023-04-27 13:34:16.350,36.03360000000001,0.77220074,959.0600000000001,972.4306
