index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 14:18:54.850,2023-04-27 14:18:55.310,2023-04-27 14:18:55.080,174.84766792,13.1106608,1173.0720000000001,1181.622
R2,2023-04-27 14:19:01.150,2023-04-27 14:19:01.790,2023-04-27 14:19:01.470,138.73556742,11.2577976,1160.91,1161.766
R3,2023-04-27 14:19:06.100,2023-04-27 14:19:06.550,2023-04-27 14:19:06.325,219.90874147999997,13.3320326,1138.22,1140.55
R4,2023-04-27 14:19:11.110,2023-04-27 14:19:11.720,2023-04-27 14:19:11.415,104.4117306,8.647788799999999,1142.374,1121.17
R5,2023-04-27 14:19:16.010,2023-04-27 14:19:16.820,2023-04-27 14:19:16.415,159.25439812,8.0670556,1107.0059999999999,1103.292
R6,2023-04-27 14:19:20.540,2023-04-27 14:19:21.640,2023-04-27 14:19:21.090,65.14199922,4.6653642,1111.438,1097.8
R7,2023-04-27 14:19:25.180,2023-04-27 14:19:26.620,2023-04-27 14:19:25.900,174.25408828,7.23437434,1077.788,1072.266
R8,2023-04-27 14:19:30.220,2023-04-27 14:19:32.190,2023-04-27 14:19:31.205,55.67866792,3.794268400000001,1070.566,1061.596
R9,2023-04-27 14:19:35.570,2023-04-27 14:19:38.000,2023-04-27 14:19:36.785,87.25351012,3.001303,989.8854000000001,1009.39
R10,2023-04-27 14:19:40.580,2023-04-27 14:19:43.510,2023-04-27 14:19:42.045,41.43436405999999,2.1445292,987.2969999999999,971.5833999999999
F1,2023-04-27 14:19:50.980,2023-04-27 14:19:51.820,2023-04-27 14:19:51.400,57.836999999999996,1.04919002,888.2119,
F2,2023-04-27 14:19:51.170,2023-04-27 14:19:52.010,2023-04-27 14:19:51.590,52.731459999999984,0.71760842,,932.9742
F3,2023-04-27 14:19:51.320,2023-04-27 14:19:52.140,2023-04-27 14:19:51.730,64.14712,1.34035574,933.1926,957.4012
F4,2023-04-27 14:19:51.450,2023-04-27 14:19:52.260,2023-04-27 14:19:51.855,33.536680000000004,0.7259439799999999,976.3048000000001,978.4721999999999
