index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 15:14:19.440,2023-04-27 15:14:19.890,2023-04-27 15:14:19.665,172.97843999999998,6.43327,1169.732,
R2,2023-04-27 15:14:28.450,2023-04-27 15:14:29.090,2023-04-27 15:14:28.770,147.037,6.3802,1144.908,
R3,2023-04-27 15:14:34.870,2023-04-27 15:14:35.310,2023-04-27 15:14:35.090,229.55166,6.857429999999999,1107.718,
R4,2023-04-27 15:14:41.630,2023-04-27 15:14:42.240,2023-04-27 15:14:41.935,115.72603000000001,5.0416705,1105.714,
R5,2023-04-27 15:14:47.380,2023-04-27 15:14:48.170,2023-04-27 15:14:47.775,169.35321,4.0683595,1086.792,
R6,2023-04-27 15:14:52.850,2023-04-27 15:14:53.920,2023-04-27 15:14:53.385,74.07804,3.027018,1074.78,
R7,2023-04-27 15:14:57.620,2023-04-27 15:14:59.040,2023-04-27 15:14:58.330,192.36572,3.7584649999999997,1041.9479999999999,
R8,2023-04-27 15:15:03.570,2023-04-27 15:15:05.510,2023-04-27 15:15:04.540,60.405048,2.5436199999999998,1024.54,
R9,2023-04-27 15:15:09.650,2023-04-27 15:15:12.020,2023-04-27 15:15:10.835,95.18612999999999,1.5120445,962.5598,
R10,2023-04-27 15:15:17.120,2023-04-27 15:15:20.000,2023-04-27 15:15:18.560,49.9195612,1.7024730000000001,954.1013999999999,
F1,2023-04-27 15:15:27.210,2023-04-27 15:15:28.040,2023-04-27 15:15:27.625,71.45459,0.5949530000000001,,855.9460999999999
F2,2023-04-27 15:15:27.400,2023-04-27 15:15:28.230,2023-04-27 15:15:27.815,67.98662,0.4268828,903.0598,
F3,2023-04-27 15:15:27.560,2023-04-27 15:15:28.360,2023-04-27 15:15:27.960,84.36179999999999,0.748206,943.1548,901.6926
F4,2023-04-27 15:15:27.690,2023-04-27 15:15:28.470,2023-04-27 15:15:28.080,45.92862,0.42620430000000004,962.6737999999999,940.8124
