index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2023-04-27 11:44:15.240,2023-04-27 11:44:15.700,2023-04-27 11:44:15.470,172.30633999999998,6.1484499999999995,1172.8139999999999,
R2,2023-04-27 11:44:22.680,2023-04-27 11:44:23.320,2023-04-27 11:44:23.000,144.7111,6.12369,1166.29,
R3,2023-04-27 11:44:26.910,2023-04-27 11:44:27.400,2023-04-27 11:44:27.155,219.04153000000002,6.457365,1133.128,
R4,2023-04-27 11:44:32.310,2023-04-27 11:44:32.910,2023-04-27 11:44:32.610,107.37046000000001,4.910159,1149.882,
R5,2023-04-27 11:44:37.920,2023-04-27 11:44:38.720,2023-04-27 11:44:38.320,157.66667999999999,3.960287,1101.576,
R6,2023-04-27 11:44:42.440,2023-04-27 11:44:43.500,2023-04-27 11:44:42.970,65.9693,2.910155,1106.554,
R7,2023-04-27 11:44:47.230,2023-04-27 11:44:48.680,2023-04-27 11:44:47.955,175.19833,3.5970045000000006,1066.264,
R8,2023-04-27 11:44:52.450,2023-04-27 11:44:54.400,2023-04-27 11:44:53.425,56.451717,2.5179039999999997,1064.462,
R9,2023-04-27 11:44:58.380,2023-04-27 11:45:00.770,2023-04-27 11:44:59.575,88.47308,1.474609,,
R10,2023-04-27 11:45:05.030,2023-04-27 11:45:07.940,2023-04-27 11:45:06.485,47.821905,1.722981,978.1822,
F1,2023-04-27 11:45:15.250,2023-04-27 11:45:16.090,2023-04-27 11:45:15.670,73.98150000000001,0.615382,,873.9062
F2,2023-04-27 11:45:15.440,2023-04-27 11:45:16.280,2023-04-27 11:45:15.860,69.01626,0.4466971,921.3804,
F3,2023-04-27 11:45:15.600,2023-04-27 11:45:16.410,2023-04-27 11:45:16.005,86.26541,0.740711,928.2252000000001,921.4167
F4,2023-04-27 11:45:15.730,2023-04-27 11:45:16.530,2023-04-27 11:45:16.130,51.79168,0.4049154,973.5766,928.2252000000001
