index,start,end,mid,roll_force,roll_torque,in_temperature,out_temperature
R1,2023-04-27 10:50:06.380,2023-04-27 10:50:06.820,2023-04-27 10:50:06.600,141.09801114,10.234396,1184.392,1158.05
R2,2023-04-27 10:50:14.160,2023-04-27 10:50:14.750,2023-04-27 10:50:14.455,137.42988044,10.339840000000002,1162.59,1163.572
R3,2023-04-27 10:50:17.960,2023-04-27 10:50:18.370,2023-04-27 10:50:18.165,192.85534158000002,11.9830802,1138.7440000000001,1119.786
R4,2023-04-27 10:50:29.760,2023-04-27 10:50:30.280,2023-04-27 10:50:30.020,130.43704506,10.024731999999998,1101.848,1133.9119999999998
R5,2023-04-27 10:50:35.130,2023-04-27 10:50:35.800,2023-04-27 10:50:35.465,139.6750202,7.528645,1087.026,1086.264
R6,2023-04-27 10:50:39.750,2023-04-27 10:50:40.620,2023-04-27 10:50:40.185,86.04244200000001,5.365232,1077.1860000000001,1087.356
R7,2023-04-27 10:50:43.860,2023-04-27 10:50:44.980,2023-04-27 10:50:44.420,131.5317184,6.143230758,1058.208,1047.7440000000001
R8,2023-04-27 10:50:48.770,2023-04-27 10:50:50.230,2023-04-27 10:50:49.500,69.7600638,4.450519999999999,1038.446,1058.5
R9,2023-04-27 10:50:53.360,2023-04-27 10:50:55.130,2023-04-27 10:50:54.245,69.93615698,3.02083326,1013.492,1007.0780000000001
R10,2023-04-27 10:51:00.980,2023-04-27 10:51:03.090,2023-04-27 10:51:02.035,51.36919251999999,2.571614,973.2238,979.5676
F1,2023-04-27 10:51:11.880,2023-04-27 10:51:12.830,2023-04-27 10:51:12.355,124.54202000000001,2.2437868599999997,888.125,
F2,2023-04-27 10:51:12.170,2023-04-27 10:51:13.030,2023-04-27 10:51:12.600,66.35294,1.66685102,,948.5054
F3,2023-04-27 10:51:12.370,2023-04-27 10:51:13.170,2023-04-27 10:51:12.770,66.29238000000001,1.3720048399999998,946.4814,960.0078
F4,2023-04-27 10:51:12.490,2023-04-27 10:51:13.280,2023-04-27 10:51:12.885,33.99909,0.73222638,947.0103999999999,993.1078000000001
