Time,[10_10:0],[10_10:1],[10_10:2],[10_10:3],[10_10:4],[10_10:5],[10_10:6],[10_10:7],[10_10:8],[10_10:9],[10_10:10],[10_10:11],[10_10:12],[10_10:13],[10_10:14],[10_10:15],[10_10:16],[10_10:17],[10_10:18],[10_10:19],[10_10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T13:02:08.368000,-0.840271,1.41522,0.432739,-0.142822,-5.83139,-6.32755,-4.23628,-2.15009,0.605469,0.00920582,0.015343,-0.0162196,0.0126953,670.091,670,670,600,669.909,599.913,670,600
2022-10-20T13:02:08.370000,-0.672241,0.707642,0.432739,-0.0714111,-5.90472,-6.27002,-4.23628,-2.1732,0.605469,0.0100825,0.0135894,-0.0166581,0.0126953,670,670,670,600,670,600.174,670.182,600.087
2022-10-20T13:02:08.372000,-0.672241,0.864868,0.360596,-0.142822,-5.94141,-6.32755,-4.20912,-2.1732,0.61198,0.00920582,0.0140278,-0.015343,0.0133464,670,670,670,600,670,600.087,670.182,600
2022-10-20T13:02:08.374000,-0.840271,0.864868,0.360596,-0.214172,-5.90472,-6.32755,-4.20912,-2.12697,0.579426,0.0105209,0.0135894,-0.0162196,0.0120442,670,670,670,600,669.909,600.087,670,600
2022-10-20T13:02:08.376000,-0.672241,0.786255,0.432739,-0.214172,-5.97809,-6.29878,-4.20912,-2.15009,0.585938,0.0100825,0.014466,-0.0162196,0.0130208,670.091,670.091,670,599.913,669.909,600,669.909,599.913
2022-10-20T13:02:08.378000,-0.672241,1.17938,0.360596,-0.142822,-5.94141,-6.27002,-4.15482,-2.1732,0.592449,0.0105209,0.0149045,-0.0162196,0.0133464,670.182,670,670,600,670,600.087,669.909,600
2022-10-20T13:02:08.380000,-0.924316,0.786255,0.360596,-0.0714111,-5.86804,-6.32755,-4.15482,-2.15009,0.592449,0.00920582,0.0149045,-0.0162196,0.0120442,670.091,670,670,600,670,600.087,670.091,600.174
2022-10-20T13:02:08.382000,-0.840271,0.786255,0.504883,-0.142822,-5.97809,-6.32755,-4.23628,-2.19632,0.592449,0.0105209,0.0135894,-0.0166581,0.0126953,670,670,670.091,600,669.909,600.087,670.091,600
