Time,[10:0],[10:1],[10:2],[10:3],[10:4],[10:5],[10:6],[10:7],[10:8],[10:9],[10:10],[10:11],[10:12],[10:13],[10:14],[10:15],[10:16],[10:17],[10:18],[10:19],[10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T10:45:48.684000,0,0,-0.0721436,-0.142822,-0.146698,0.0287628,0,0,0.592449,0.0100825,0.0166581,-0.0157812,0.0130208,670.091,670.182,670,600,669.909,600,670.091,599.913
2022-10-20T10:45:48.686000,0.0840454,0.157227,0,0,-0.146698,0.0575256,0,-0.0231171,0.579426,0.0109591,0.0157812,-0.0157812,0.014323,670.182,670.091,670,600,670,600,670.091,600
2022-10-20T10:45:48.688000,0,0,0,0,-0.110016,0.0287628,0,0,0.605469,0.0118361,0.0157812,-0.0170963,0.0130208,670.182,670.091,669.909,600,670,600,670.091,600.087
2022-10-20T10:45:48.690000,-0.16803,0.314514,0,-0.0714111,-0.0366821,0,0,0,0.566406,0.00964403,0.015343,-0.0149045,0.0130208,670,670,670,600.087,670,600,670.091,600
2022-10-20T10:45:48.692000,-0.0840454,-0.235901,0,0,-0.110016,0.0862885,0,-0.0231171,0.585938,0.0109591,0.0131509,-0.0166581,0.0136719,669.909,670.091,670,600,670,600,670.091,600
2022-10-20T10:45:48.694000,0,0,-0.0721436,0,-0.110016,0.0575256,0.054306,-0.0231171,0.585938,0.0100825,0.015343,-0.014466,0.0123699,670.182,670.182,670.091,600,670,600,670.091,600
2022-10-20T10:45:48.696000,0.252075,-0.0786133,0,-0.0714111,-0.146698,0,0,-0.0231171,0.559895,0.0100825,0.0140278,-0.0149045,0.0130208,670,670.182,670.091,600,669.909,600,670,600
2022-10-20T10:45:48.698000,0,0,0,-0.0714111,-0.146698,0,-0.0271606,0.0231171,0.585938,0.0122743,0.0127127,-0.0175347,0.014323,670.091,670.182,670,599.913,670,600,670,600.087
2022-10-20T10:45:48.700000,0,-0.0786133,-0.0721436,0,-0.146698,0.0287628,-0.0271606,0,0.572918,0.0113976,0.014466,-0.0140278,0.0123699,670,670.091,669.909,600,670,600,670.091,600.087
2022-10-20T10:45:48.702000,0,0,0,-0.0714111,-0.110016,0.0862885,0,-0.0231171,0.579426,0.0100825,0.0162196,-0.0135894,0.0133464,670,670,669.909,600,670,600.087,670.091,600
2022-10-20T10:45:48.704000,0,0,-0.0721436,-0.0714111,-0.110016,0,0,0,0.592449,0.0105209,0.0149045,-0.0162196,0.0130208,670,669.909,670,600,670,600.087,670.091,600
2022-10-20T10:45:48.706000,0,0.0786133,0.0721436,-0.0714111,-0.110016,0,0,0,0.579426,0.0118361,0.0149045,-0.014466,0.0133464,670,669.909,670,600.087,670,600.087,670,600
2022-10-20T10:45:48.708000,0,0,0.144226,0,-0.146698,0.0287628,0,0,0.579426,0.00876737,0.0157812,-0.014466,0.0136719,670.091,670,670.091,600.087,670,600,670.091,600
2022-10-20T10:45:48.710000,-0.0840454,0,0,0,-0.110016,0,0.0271606,0.0231171,0.585938,0.0113976,0.015343,-0.0157812,0.0123699,670,670.273,670.182,600,669.909,600,670.091,600
2022-10-20T10:45:48.712000,-0.0840454,-0.0786133,0,0,-0.110016,0.0287628,0.0271606,0.0462341,0.572918,0.00920582,0.0135894,-0.014466,0.0133464,670,670,670.091,599.913,669.909,600,670.091,600
2022-10-20T10:45:48.714000,0.0840454,0,0,0,-0.0733643,0.0287628,0,0,0.572918,0.0122743,0.015343,-0.0162196,0.0117188,670,670.091,670,599.913,669.909,600,670.091,600
2022-10-20T10:45:48.716000,0,0.235901,-0.21637,0,-0.0733643,0,0,0,0.579426,0.0105209,0.0149045,-0.015343,0.0139973,670,670.091,670,599.913,670,600,670.091,600
2022-10-20T10:45:48.718000,0,-0.157227,-0.0721436,-0.0714111,-0.110016,0.0575256,-0.0271606,-0.0231171,0.566406,0.0113976,0.0149045,-0.0162196,0.0126953,670,670,669.909,600,670.091,600.087,670,600
2022-10-20T10:45:48.720000,0,0.0786133,-0.0721436,-0.0714111,-0.110016,0,0,-0.0231171,0.592449,0.0109591,0.0166581,-0.0157812,0.0139973,670,670,670.456,600.087,670.091,600,670.091,600
2022-10-20T10:45:48.722000,0.0840454,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.585938,0.0100825,0.0170963,-0.0149045,0.0120442,670,670.091,670,600.174,670,600,670,600
2022-10-20T10:45:48.724000,0,0.0786133,0.0721436,-0.0714111,-0.110016,0,0,0,0.579426,0.0122743,0.015343,-0.0157812,0.0133464,670,670.091,670,600.087,669.909,600,670.091,600
2022-10-20T10:45:48.726000,0,-0.157227,-0.0721436,0,-0.146698,0,0,-0.0231171,0.579426,0.0109591,0.0140278,-0.0162196,0.0136719,670,670.091,670,600,669.909,600,670.091,600
2022-10-20T10:45:48.728000,-0.0840454,0.0786133,0,0,-0.0366821,0,0.0271606,0,0.566406,0.0122743,0.0157812,-0.0149045,0.0117188,670,670,670,599.913,669.909,600,670.091,600
2022-10-20T10:45:48.730000,0,-0.157227,0,-0.0714111,-0.110016,0,0,0,0.592449,0.0109591,0.0140278,-0.0157812,0.0139973,670,670.091,670,599.826,670,600.087,670.091,600
2022-10-20T10:45:48.732000,0,-0.0786133,0,0,-0.146698,0,0,0,0.579426,0.0127127,0.0140278,-0.0157812,0.0123699,670,670.091,670,599.913,670.091,600.087,670.091,600
2022-10-20T10:45:48.734000,0,0.157227,-0.144226,0,-0.110016,0,0,-0.0231171,0.566406,0.0109591,0.015343,-0.015343,0.0117188,670.091,670,670,600,670.091,600.087,670,600
2022-10-20T10:45:48.736000,0,-0.157227,0,-0.0714111,-0.146698,0,-0.0271606,0,0.572918,0.0118361,0.0131509,-0.015343,0.0149739,670,670.091,670,600,670.182,600,670,600
2022-10-20T10:45:48.738000,0,0,-0.0721436,-0.0714111,-0.18338,0,-0.0271606,-0.0231171,0.572918,0.00964403,0.0166581,-0.015343,0.0133464,670,670,670,600,670,600,670,600
2022-10-20T10:45:48.740000,-0.0840454,0,-0.21637,-0.0714111,-0.110016,0,-0.0271606,0,0.585938,0.00920582,0.0140278,-0.0140278,0.014323,670,670,670,600,669.909,599.913,670.091,600.087
2022-10-20T10:45:48.742000,-0.0840454,-0.0786133,0,-0.214172,-0.146698,0,-0.0271606,-0.0231171,0.572918,0.0105209,0.0162196,-0.0149045,0.0123699,670,670.091,670,600,669.818,600,670.091,600.087
2022-10-20T10:45:48.744000,0,0,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.598957,0.0113976,0.0162196,-0.0149045,0.0133464,670,670,670,600,669.818,600.087,670.091,600
2022-10-20T10:45:48.746000,0.0840454,0,-0.0721436,-0.0714111,-0.146698,0,0,-0.0231171,0.585938,0.00964403,0.0131509,-0.015343,0.0139973,670,670,670,600.087,670.091,600.174,670.091,600
2022-10-20T10:45:48.748000,0,0,0,-0.142822,-0.146698,0,0,0,0.585938,0.0118361,0.0157812,-0.0149045,0.0133464,670,670.091,670,600.087,670,600.087,670,600
2022-10-20T10:45:48.750000,0,0.157227,0,-0.0714111,-0.0733643,0.0575256,-0.0271606,-0.0231171,0.566406,0.0105209,0.0166581,-0.015343,0.0139973,670,670,670,599.913,670,600.087,670,599.913
2022-10-20T10:45:48.752000,-0.0840454,0.0786133,0,0,-0.110016,0,0,0,0.598957,0.0105209,0.0135894,-0.0162196,0.0126953,670.091,670.091,670,600,670,600,670,600
2022-10-20T10:45:48.754000,-0.0840454,-0.157227,0,-0.0714111,-0.146698,0,0,0,0.592449,0.0113976,0.015343,-0.015343,0.0136719,670,670,670,600,669.909,600,670.091,600.087
2022-10-20T10:45:48.756000,0,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.572918,0.0109591,0.0162196,-0.0157812,0.0130208,670,670,670,600,670,600.174,670.182,600.087
2022-10-20T10:45:48.758000,0,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.572918,0.0109591,0.0162196,-0.0157812,0.0130208,670,670,670,600,670,600.174,670.182,600.087
2022-10-20T10:45:48.760000,-0.16803,-0.235901,-0.0721436,-0.0714111,-0.110016,0,0,0,0.579426,0.0131509,0.015343,-0.0149045,0.0133464,670,670,670,600,670,600.087,670.091,600
2022-10-20T10:45:48.762000,-0.16803,-0.235901,-0.0721436,-0.0714111,-0.110016,0,0,0,0.579426,0.0131509,0.015343,-0.0149045,0.0133464,670,670,670,600,670,600.087,670.091,600
2022-10-20T10:45:48.764000,0,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.566406,0.00964403,0.0135894,-0.0140278,0.0120442,670.091,670,670,599.913,670,600,669.909,600
2022-10-20T10:45:48.766000,0,0,-0.0721436,-0.142822,-0.146698,0,0,0,0.572918,0.0100825,0.014466,-0.015343,0.0117188,670.091,670,670,600,669.909,600,670,600
2022-10-20T10:45:48.768000,0,-0.157227,-0.0721436,0,-0.146698,0,-0.0271606,0,0.566406,0.0109591,0.015343,-0.015343,0.0133464,670,670,670,600,670,600.087,670.091,600.174
2022-10-20T10:45:48.770000,0,-0.157227,-0.0721436,0,-0.110016,0.0862885,0.0271606,0,0.566406,0.0105209,0.0157812,-0.014466,0.0120442,669.909,669.909,670,600,670,600,670.091,600.174
2022-10-20T10:45:48.772000,-0.0840454,-0.0786133,0,0,-0.110016,0.0287628,0.0271606,0.0231171,0.579426,0.0100825,0.015343,-0.0157812,0.0126953,670,670,670,600.087,669.909,600,670.091,600.087
2022-10-20T10:45:48.774000,-0.0840454,-0.157227,0,0,-0.110016,0.0287628,0,0.0231171,0.553387,0.0109591,0.0140278,-0.0157812,0.0139973,669.909,670,670,600,670,600,670.091,599.913
2022-10-20T10:45:48.776000,0,-0.157227,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,-0.0462341,0.592449,0.0113976,0.014466,-0.0157812,0.0117188,670.091,670.182,670,600,670,600,670.091,599.913
2022-10-20T10:45:48.778000,-0.0840454,-0.157227,-0.0721436,-0.0714111,-0.110016,0,-0.0814667,0,0.566406,0.00964403,0.0157812,-0.0157812,0.0130208,670.182,670.091,670,599.913,670,600.087,670.091,600
2022-10-20T10:45:48.780000,0.16803,-0.0786133,-0.144226,-0.0714111,-0.110016,-0.0287628,0,0,0.572918,0.00920582,0.0149045,-0.015343,0.0117188,670.182,670.091,670,600,670,600,670.091,600.347
2022-10-20T10:45:48.782000,0,-0.0786133,-0.144226,0,-0.146698,0,-0.0271606,-0.0462341,0.585938,0.0100825,0.0162196,-0.0157812,0.0130208,670.091,670,669.909,600,669.909,600.087,670.091,600
2022-10-20T10:45:48.784000,0,0,-0.0721436,-0.214172,-0.110016,0,-0.0271606,0,0.566406,0.0100825,0.0140278,-0.015343,0.0123699,670,670,669.909,600.087,670,600,670.091,600
2022-10-20T10:45:48.786000,-0.0840454,-0.0786133,-0.0721436,-0.142822,-0.110016,0.0287628,-0.054306,-0.0462341,0.553387,0.0105209,0.014466,-0.015343,0.0120442,669.909,670,670,600,670,600,670.091,600.087
2022-10-20T10:45:48.788000,0.0840454,0.0786133,-0.0721436,-0.0714111,-0.110016,0.0287628,0,0,0.585938,0.0105209,0.014466,-0.0149045,0.0123699,669.909,670,670.091,600,670,600,670.091,600
2022-10-20T10:45:48.790000,0,-0.157227,0,-0.0714111,-0.110016,0,-0.054306,0,0.579426,0.0105209,0.014466,-0.0162196,0.0117188,670,670.091,670.091,600,670,600,670.091,600.087
2022-10-20T10:45:48.792000,-0.0840454,0,0,0,-0.110016,0.0287628,0,-0.0231171,0.566406,0.0105209,0.0149045,-0.0149045,0.0113933,670.365,670.182,670.091,600,669.909,600,670,600.087
2022-10-20T10:45:48.794000,-0.0840454,-0.235901,0,0,-0.110016,-0.0287628,0,-0.0231171,0.572918,0.0100825,0.015343,-0.0162196,0.0120442,670.091,670.273,670.091,599.913,670,600,670.091,600
2022-10-20T10:45:48.796000,0,-0.0786133,0,0,-0.146698,0,0,-0.0231171,0.546875,0.0113976,0.0166581,-0.0162196,0.0123699,670,670,670,599.913,670,600,670,600
2022-10-20T10:45:48.798000,0,-0.0786133,0,0,-0.146698,0,0,-0.0462341,0.585938,0.0100825,0.0157812,-0.015343,0.0113933,670,669.909,670,600,670,600,670,600
2022-10-20T10:45:48.800000,-0.0840454,0,0,0,-0.146698,-0.0287628,-0.0271606,0,0.572918,0.0105209,0.0157812,-0.0162196,0.0133464,670.091,669.909,670.091,600.087,670,600,670.091,600
2022-10-20T10:45:48.802000,0,-0.157227,-0.144226,-0.0714111,-0.110016,0.0287628,-0.0271606,-0.0462341,0.585938,0.0118361,0.015343,-0.0162196,0.0123699,670,670.182,670.182,600,669.909,600,670,600.087
2022-10-20T10:45:48.804000,0.0840454,0,-0.144226,-0.0714111,-0.110016,0,0,-0.0462341,0.572918,0.0118361,0.0149045,-0.0149045,0.0113933,670,670,670.091,600,669.909,600,670,600
2022-10-20T10:45:48.806000,0,0.0786133,-0.0721436,-0.0714111,-0.146698,-0.0287628,0,-0.0462341,0.605469,0.0105209,0.0149045,-0.0157812,0.0126953,670,670.091,670.091,600,669.909,600,670.091,600
2022-10-20T10:45:48.808000,0,0,0,-0.142822,-0.0733643,0,0,0,0.572918,0.0113976,0.015343,-0.0162196,0.0123699,670,670,669.818,600,670,600,670,600
2022-10-20T10:45:48.810000,0.0840454,0,-0.0721436,0,-0.18338,0.0287628,0,-0.0231171,0.585938,0.0100825,0.015343,-0.014466,0.0117188,670.091,670.091,669.909,600,670,600.087,670,600
2022-10-20T10:45:48.812000,0.0840454,0,0,-0.0714111,-0.146698,-0.0287628,-0.0271606,-0.0693512,0.598957,0.0118361,0.014466,-0.0157812,0.0123699,670,670,670,600.174,670.091,600,670.091,600
2022-10-20T10:45:48.814000,-0.16803,0,0,-0.0714111,-0.110016,0,0,0.0462341,0.579426,0.0100825,0.0157812,-0.015343,0.0139973,670.091,670,670,600.087,670,600,670,600
2022-10-20T10:45:48.816000,0,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,-0.0271606,0,0.585938,0.0113976,0.0140278,-0.0140278,0.0133464,670,670.091,670,600.174,669.909,599.913,670,600
2022-10-20T10:45:48.818000,-0.0840454,-0.235901,-0.0721436,0,-0.18338,0,0,0,0.572918,0.0105209,0.014466,-0.0149045,0.0120442,670,670.091,670,600.087,669.818,600,670.091,600
2022-10-20T10:45:48.820000,-0.252075,-0.0786133,-0.0721436,-0.0714111,-0.146698,0,0,0.0231171,0.598957,0.0105209,0.0140278,-0.0166581,0.0123699,670,670,670,599.826,669.909,600.087,670.091,600
2022-10-20T10:45:48.822000,0.0840454,-0.0786133,-0.0721436,-0.0714111,-0.110016,0,0,-0.0231171,0.585938,0.0118361,0.0149045,-0.015343,0.0126953,670,670.091,670,599.913,670,600.087,670.091,600
