Time,[1_10:0],[1_10:1],[1_10:2],[1_10:3],[1_10:4],[1_10:5],[1_10:6],[1_10:7],[1_10:8],[1_10:9],[1_10:10],[1_10:11],[1_10:12],[1_10:13],[1_10:14],[1_10:15],[1_10:16],[1_10:17],[1_10:18],[1_10:19],[1_10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T13:50:11.172000,-0.50415,0.550354,-0.288513,-0.713989,13.9733,13.633,21.3987,16.5765,0.559895,0.00920582,0.0135894,-0.00964403,0.0126953,670,670.091,670,599.913,670,600.087,670.091,600
2022-10-20T13:50:11.174000,-0.336121,0.393127,-0.0721436,-0.713989,13.9366,13.6905,21.3444,16.5996,0.553387,0.0100825,0.0122743,-0.00964403,0.0126953,670.091,670,670,600,670.091,600.087,670,600
2022-10-20T13:50:11.176000,-0.588196,0.471741,0,-0.642578,13.9733,13.6905,21.3172,16.5996,0.605469,0.0078907,0.0140278,-0.0100825,0.0113933,670,670,670,600.087,670.091,600,670,600
2022-10-20T13:50:11.178000,-0.420166,0.550354,-0.144226,-0.642578,13.9733,13.7193,21.4258,16.5765,0.585938,0.00745225,0.0140278,-0.00876737,0.014323,670,670.091,669.909,600,670.091,599.913,670,600
2022-10-20T13:50:11.180000,-0.50415,0.628967,-0.0721436,-0.571167,13.9733,13.6617,21.3715,16.5765,0.527344,0.0100825,0.0131509,-0.0100825,0.0104167,670,670,670,600,669.818,600,670,600
2022-10-20T13:50:11.182000,-0.420166,0.314514,-0.0721436,-0.713989,13.9733,13.633,21.3172,16.5996,0.559895,0.0100825,0.014466,-0.0100825,0.0130208,670,670,670,600,670,600.174,670,600
2022-10-20T13:50:11.184000,-0.336121,1.02209,0,-0.499756,13.9366,13.7193,21.3715,16.6227,0.553387,0.00745225,0.0118361,-0.0109591,0.0123699,670,670,670,600,670,600.174,670,599.913
2022-10-20T13:50:11.186000,-0.336121,0.157227,-0.21637,-0.713989,13.9,13.6905,21.3444,16.5765,0.579426,0.0100825,0.0122743,-0.0105209,0.014323,670.091,670,670,600.087,669.909,600,670,600
