Time,[13_10:0],[13_10:1],[13_10:2],[13_10:3],[13_10:4],[13_10:5],[13_10:6],[13_10:7],[13_10:8],[13_10:9],[13_10:10],[13_10:11],[13_10:12],[13_10:13],[13_10:14],[13_10:15],[13_10:16],[13_10:17],[13_10:18],[13_10:19],[13_10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T13:04:44.770000,-0.16803,0.393127,-0.21637,0.0714111,-6.01477,-6.35631,-4.23628,-2.21945,0.61198,0.0100825,0.0149045,-0.0162196,0.0130208,670,670,670.456,600,670,600.087,670,600
2022-10-20T13:04:44.772000,-0.16803,0.864868,-0.360596,-0.0714111,-5.94141,-6.38507,-4.23628,-2.15009,0.625,0.0100825,0.0149045,-0.015343,0.0123699,670,670,670,600.174,669.909,600,670,599.913
2022-10-20T13:04:44.774000,-0.0840454,0.628967,-0.288513,0,-6.05142,-6.32755,-4.2906,-2.21945,0.61198,0.00964403,0.0131509,-0.014466,0.0133464,670,670.091,670,600,669.909,600,670.091,600
2022-10-20T13:04:44.776000,-0.0840454,0.786255,-0.288513,-0.0714111,-5.97809,-6.32755,-4.23628,-2.21945,0.572918,0.00745225,0.0135894,-0.015343,0.0123699,670,670.091,670.091,599.913,669.909,600,670.091,600
2022-10-20T13:04:44.778000,0,0.786255,-0.288513,0,-5.94141,-6.35631,-4.26344,-2.1732,0.631512,0.00876737,0.015343,-0.0162196,0.0126953,670,670.091,670,599.826,669.909,600.174,670.091,600
2022-10-20T13:04:44.780000,-0.0840454,0.786255,-0.144226,-0.0714111,-6.01477,-6.35631,-4.26344,-2.1732,0.572918,0.0105209,0.015343,-0.015343,0.0130208,670,670,670,599.913,670,600.087,670.091,600
2022-10-20T13:04:44.782000,-0.0840454,0.707642,-0.21637,0,-5.97809,-6.32755,-4.20912,-2.1732,0.585938,0.0122743,0.014466,-0.0166581,0.0130208,670,670,670,600,670.091,600,669.909,600
2022-10-20T13:04:44.784000,0,1.02209,-0.21637,0,-5.94141,-6.35631,-4.12766,-2.15009,0.61198,0.00876737,0.0149045,-0.0170963,0.0126953,670,670,670.091,600,670,600,670,600
2022-10-20T13:04:44.786000,0,1.02209,-0.21637,0,-5.94141,-6.35631,-4.12766,-2.15009,0.61198,0.00876737,0.0149045,-0.0170963,0.0126953,670,670,670.091,600,670,600,670,600
2022-10-20T13:04:44.788000,0,0.550354,-0.0721436,0,-6.01477,-6.32755,-4.23628,-2.15009,0.61198,0.00964403,0.0127127,-0.0175347,0.0126953,670,670,670,600,669.909,600,670,600
2022-10-20T13:04:44.790000,-0.0840454,0.864868,-0.288513,-0.0714111,-6.01477,-6.38507,-4.20912,-2.19632,0.61198,0.00964403,0.0162196,-0.0157812,0.0126953,670,670,670,600,669.909,600.087,670.091,600.087
2022-10-20T13:04:44.792000,-0.0840454,0.864868,-0.21637,0,-6.01477,-6.35631,-4.26344,-2.15009,0.63802,0.0100825,0.015343,-0.0157812,0.0130208,670,670,670,600,670.365,600.087,670.091,600.087
2022-10-20T13:04:44.794000,0.0840454,0.628967,-0.288513,0,-6.01477,-6.35631,-4.26344,-2.1732,0.605469,0.0100825,0.015343,-0.0175347,0.0120442,670,670,670,600,670,600.174,670.091,600
2022-10-20T13:04:44.796000,0,0.786255,-0.360596,0,-6.01477,-6.35631,-4.23628,-2.1732,0.585938,0.0109591,0.0135894,-0.0175347,0.0120442,670,670,670,600,670,600.087,670,600
2022-10-20T13:04:44.798000,0,0.707642,-0.288513,-0.142822,-6.01477,-6.38507,-4.23628,-2.1732,0.618488,0.0078907,0.0157812,-0.015343,0.0133464,670.091,670,670.091,600,670,600,670,600
2022-10-20T13:04:44.800000,-0.16803,0.786255,-0.288513,0,-6.01477,-6.38507,-4.26344,-2.1732,0.566406,0.00964403,0.0105209,-0.0157812,0.0130208,670.091,670,670,600,670,599.913,670,600
2022-10-20T13:04:44.802000,0.0840454,1.02209,-0.288513,0,-5.97809,-6.38507,-4.20912,-2.19632,0.644531,0.0100825,0.014466,-0.0184114,0.0130208,670.091,670.091,670,600.087,670,600,670.091,600
2022-10-20T13:04:44.804000,-0.0840454,0.864868,-0.21637,-0.0714111,-6.01477,-6.38507,-4.23628,-2.21945,0.625,0.0105209,0.0140278,-0.0157812,0.0133464,670,670,670,600,670,600.26,670.182,600.087
2022-10-20T13:04:44.806000,0,0.943481,-0.288513,0,-5.97809,-6.38507,-4.20912,-2.19632,0.61198,0.00920582,0.0131509,-0.0170963,0.0123699,669.909,670,670,600,669.909,600,670.182,600
2022-10-20T13:04:44.808000,0,0.943481,-0.21637,0,-6.01477,-6.38507,-4.26344,-2.19632,0.579426,0.00964403,0.0140278,-0.0162196,0.0126953,670,670,670,600,670.091,600.087,670.091,600
2022-10-20T13:04:44.810000,0,0.786255,-0.21637,0,-6.05142,-6.35631,-4.23628,-2.19632,0.644531,0.00920582,0.0135894,-0.015343,0.0123699,670.091,670.091,670,600,670,600.087,670,600
2022-10-20T13:04:44.812000,0,0.786255,-0.21637,0,-6.05142,-6.35631,-4.23628,-2.19632,0.644531,0.00920582,0.0135894,-0.015343,0.0123699,670.091,670.091,670,600,670,600.087,670,600
2022-10-20T13:04:44.814000,-0.0840454,1.02209,-0.21637,-0.142822,-6.01477,-6.38507,-4.26344,-2.19632,0.625,0.0078907,0.015343,-0.015343,0.0120442,670.091,670,670,600,670,600.087,670.091,600
2022-10-20T13:04:44.816000,0,0.786255,-0.288513,0,-5.97809,-6.35631,-4.2906,-2.24257,0.625,0.00964403,0.014466,-0.015343,0.0133464,670.091,670,670,600,670,600.087,670.273,600.087
2022-10-20T13:04:44.818000,0,1.02209,-0.360596,-0.0714111,-5.97809,-6.29878,-4.20912,-2.26569,0.566406,0.0100825,0.0162196,-0.0162196,0.0133464,670,670,670,600,669.909,600,670.091,600.174
2022-10-20T13:04:44.820000,0,0.943481,-0.21637,0,-6.05142,-6.35631,-4.23628,-2.19632,0.63802,0.0100825,0.0118361,-0.0166581,0.0130208,670,670,670,600,670,600,670,600.174
2022-10-20T13:04:44.822000,-0.0840454,1.258,-0.144226,-0.0714111,-6.01477,-6.35631,-4.26344,-2.1732,0.598957,0.0100825,0.0162196,-0.0157812,0.0126953,670,670,670,600,669.909,600,670.091,600.087
2022-10-20T13:04:44.824000,0,0.864868,-0.21637,0,-5.97809,-6.32755,-4.23628,-2.19632,0.61198,0.0078907,0.0140278,-0.0170963,0.0136719,670,670.091,670,600,669.909,600.087,670,599.826
2022-10-20T13:04:44.826000,-0.16803,0.786255,-0.288513,0,-6.01477,-6.24126,-4.18198,-2.19632,0.605469,0.00964403,0.015343,-0.0157812,0.0133464,670,670.091,670,600,669.909,600,670.091,599.913
2022-10-20T13:04:44.828000,-0.16803,0.786255,-0.0721436,0,-6.05142,-6.35631,-4.23628,-2.21945,0.579426,0.0100825,0.0118361,-0.0149045,0.0130208,670.091,670,669.909,599.913,670,600.087,670.091,600.174
2022-10-20T13:04:44.830000,-0.16803,0.864868,-0.0721436,0.0714111,-6.05142,-6.38507,-4.20912,-2.21945,0.61198,0.00964403,0.0149045,-0.015343,0.0133464,670,669.909,669.909,600,670,600,670,600.087
2022-10-20T13:04:44.832000,-0.0840454,0.628967,-0.288513,0,-6.05142,-6.38507,-4.23628,-2.19632,0.625,0.0118361,0.0127127,-0.0162196,0.0130208,669.909,670,670,600,670,600,670.091,600
2022-10-20T13:04:44.834000,-0.16803,0.864868,-0.21637,0,-6.05142,-6.35631,-4.26344,-2.1732,0.625,0.0100825,0.0135894,-0.014466,0.0133464,669.909,670.091,670,600,669.909,600.087,670,600.087
2022-10-20T13:04:44.836000,0,0.786255,-0.360596,0,-6.05142,-6.41383,-4.23628,-2.24257,0.644531,0.00876737,0.0157812,-0.0166581,0.0133464,670,670.091,670,600,669.909,600,670.091,600
2022-10-20T13:04:44.838000,-0.16803,0.707642,-0.360596,0.0714111,-6.01477,-6.35631,-4.26344,-2.19632,0.559895,0.0100825,0.0157812,-0.0157812,0.0126953,670.273,670.182,670,600,669.909,600,670.091,600
2022-10-20T13:04:44.840000,0,0.786255,-0.21637,-0.142822,-5.94141,-6.35631,-4.26344,-2.19632,0.644531,0.00876737,0.015343,-0.0184114,0.0136719,670,670.182,669.909,599.913,669.909,600,670,600
2022-10-20T13:04:44.842000,0.0840454,0.943481,-0.288513,0,-5.94141,-6.35631,-4.20912,-2.24257,0.631512,0.0100825,0.0140278,-0.0170963,0.0136719,670.091,669.909,669.909,600,670,600,670,599.913
2022-10-20T13:04:44.844000,-0.16803,0.628967,-0.21637,0,-6.01477,-6.41383,-4.26344,-2.19632,0.631512,0.00920582,0.015343,-0.015343,0.0136719,670,670,670,600.087,670,600,670.091,600.087
