Time,[11_10:0],[11_10:1],[11_10:2],[11_10:3],[11_10:4],[11_10:5],[11_10:6],[11_10:7],[11_10:8],[11_10:9],[11_10:10],[11_10:11],[11_10:12],[11_10:13],[11_10:14],[11_10:15],[11_10:16],[11_10:17],[11_10:18],[11_10:19],[11_10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T13:03:01.332000,-1.09235,-0.314514,-0.432739,-0.642578,-5.97809,-6.35631,-4.18198,-2.15009,0.598957,0.0100825,0.0157812,-0.015343,0.0126953,670,670.091,669.909,600.087,670,600,670.091,600
2022-10-20T13:03:01.334000,-1.34442,-0.314514,-0.432739,-0.713989,-5.86804,-6.29878,-4.18198,-2.15009,0.631512,0.00964403,0.0122743,-0.0170963,0.0126953,670,670,670,600.087,670,600,670,600
2022-10-20T13:03:01.336000,-1.09235,-0.471741,-0.360596,-0.7854,-6.01477,-6.35631,-4.18198,-2.1732,0.605469,0.0105209,0.0135894,-0.0157812,0.0130208,670,670,670,600.087,669.909,600,670.091,600
2022-10-20T13:03:01.338000,-1.09235,-0.393127,-0.432739,-0.713989,-5.94141,-6.32755,-4.20912,-2.1732,0.605469,0.00920582,0.015343,-0.015343,0.0130208,670,670,670,599.913,669.818,600,670.091,600
2022-10-20T13:03:01.340000,-1.17639,-0.235901,-0.360596,-0.85675,-5.90472,-6.32755,-4.23628,-2.1732,0.625,0.0100825,0.0149045,-0.0162196,0.0133464,670,670.091,670,599.826,669.909,600.087,670,600
2022-10-20T13:03:01.342000,-1.00836,-0.314514,-0.360596,-0.713989,-5.97809,-6.29878,-4.20912,-2.1732,0.618488,0.00964403,0.014466,-0.0170963,0.0126953,670,670,670,600,670.091,600.087,670.091,600
2022-10-20T13:03:01.344000,-1.34442,-0.471741,-0.288513,-0.713989,-5.97809,-6.29878,-4.15482,-2.19632,0.598957,0.00920582,0.0162196,-0.0149045,0.0126953,670,670,670,600,670.182,600.087,670,600
2022-10-20T13:03:01.346000,-1.17639,-0.235901,-0.288513,-0.7854,-5.94141,-6.32755,-4.18198,-2.12697,0.618488,0.00876737,0.015343,-0.0162196,0.0136719,670,670,670,600,670.091,600,669.909,600
