Time,[2_10:0],[2_10:1],[2_10:2],[2_10:3],[2_10:4],[2_10:5],[2_10:6],[2_10:7],[2_10:8],[2_10:9],[2_10:10],[2_10:11],[2_10:12],[2_10:13],[2_10:14],[2_10:15],[2_10:16],[2_10:17],[2_10:18],[2_10:19],[2_10:20]
time,Walzkraft  DUO-Walzwerk VL,Walzkraft  DUO-Walzwerk VR,Walzkraft  DUO-Walzwerk HL,Walzkraft  DUO-Walzwerk HR,Walzkraft Walzgerüst 1,Walzkraft Walzgerüst 2,Walzkraft Walzgerüst 3,Walzkraft Walzgerüst 4,Moment DUO-Walzwerk,Moment Walzgerüst 1,Moment Walzgerüst 2,Moment Walzgerüst 3,Moment Walzgerüst 4,Temperatur 1 (Rollgang),Temperatur 2 (Duo Austritt),Temperatur 3 (Duo Anstich),Temperatur 4 (vor G1),Temperatur 5 (vor G2),Temperatur 6 (vor G3),Temperatur 7 (vor G4),Temperatur 8 (nach G4)
sec,kN,kN,kN,kN,kN,kN,kN,kN,kNm,kNm,kNm,kNm,kNm,°C,°C,°C,°C,°C,°C,°C,°C
2022-10-20T13:51:02.462000,-0.672241,1.65112,0.0721436,-0.0714111,12.7263,12.5401,19.8236,15.1662,0.618488,0.00920582,0.0131509,-0.00920582,0.0113933,669.909,670,670,600,669.909,600,670.091,600.087
2022-10-20T13:51:02.464000,-0.50415,1.80835,0.0721436,-0.142822,12.763,12.5688,19.8508,15.1662,0.585938,0.00964403,0.0122743,-0.00964403,0.0136719,670.091,670.182,670,600,670,600,670,600
2022-10-20T13:51:02.466000,-0.588196,1.72974,0.0721436,-0.0714111,12.7263,12.5976,19.8779,15.1662,0.61198,0.00526047,0.0122743,-0.00964403,0.0130208,670,670.273,669.909,600,670,600.087,670.091,600
2022-10-20T13:51:02.468000,-0.672241,1.65112,0.0721436,-0.0714111,12.763,12.5688,19.8508,15.1893,0.566406,0.0078907,0.0131509,-0.0100825,0.0123699,670,670,670.091,600.087,670,600,670.091,600
2022-10-20T13:51:02.470000,-0.50415,1.80835,0.144226,-0.0714111,12.7263,12.5688,19.8779,15.1662,0.579426,0.0078907,0.0135894,-0.00964403,0.0107422,670,670.091,670.091,600,669.909,600,670,600
2022-10-20T13:51:02.472000,-0.50415,1.65112,0.21637,0,12.7263,12.5688,19.8508,15.12,0.598957,0.00920582,0.0118361,-0.00964403,0.014323,670.091,670,670,599.913,669.909,600,670.091,600
2022-10-20T13:51:02.474000,-0.672241,1.65112,0,-0.142822,12.7997,12.5113,19.7965,15.1893,0.585938,0.00745225,0.015343,-0.00964403,0.0123699,670,670.091,669.909,600,670.091,600.087,670,600
2022-10-20T13:51:02.476000,-0.588196,1.49384,0.0721436,-0.142822,12.763,12.5688,19.7965,15.2124,0.592449,0.00920582,0.0140278,-0.00876737,0.0117188,670,670.091,670.091,600.174,669.909,600,670,600
